질문 번호,구분,질문,정답 실습 단계,예측 실습 단계,G4 적용 단계,분류 점수,분류 margin,G4 적용,정답 텍스트,G3 텍스트 정답 순위,G4 텍스트 정답 순위,G4 텍스트 평가,G4 텍스트 평가 근거,정답 이미지,G3 이미지 정답 순위,G4 이미지 정답 순위,G4 이미지 평가,G4 검색 이미지 Top-10
Q24,기존,로봇의 이동 경로를 티칭할 때 직선으로 이동하도록 강제하는 모션 명령어는 무엇입니까?,프로그래밍/모션 명령,프로그래밍/모션 명령,프로그래밍/모션 명령,0.5321,0.0563,O,MoveL,1,2,O,semantic_rank:8,page_275_img_0_0.jpeg,6,2,O,"1. page_276_img_0_0.jpeg | score=1.459 | stage=0.804 | page=1.00; keyword=movej,movel,tcp; section=movej,movel
2. page_275_img_0_0.jpeg | score=1.348 | stage=0.829 | page=1.00; keyword=movej,movel,motion,linear; section=movej,movel
3. page_277_img_0_0.jpeg | score=1.210 | stage=0.512 | page=1.00; keyword=tcp
4. page_269_img_0_0.jpeg | score=0.994 | stage=0.512 | page=1.00; keyword=tcp
5. page_267_img_1_0.jpeg | score=0.981 | stage=0.792 | page=1.00; keyword=movej,movel; section=movej,movel
6. page_195_img_0_0.jpeg | score=0.817 | stage=0.000
7. page_195_img_2_0.jpeg | score=0.791 | stage=0.000
8. page_271_img_1_0.jpeg | score=0.769 | stage=0.512 | page=1.00; keyword=radius
9. page_271_img_0_0.jpeg | score=0.754 | stage=0.512 | page=1.00; keyword=radius
10. page_196_img_0_0.jpeg | score=0.715 | stage=0.000"
Q25,기존,조인트 각도를 기준으로 목표 위치까지 가장 빠른 경로로 이동하는 모션 명령어는 무엇입니까?,프로그래밍/모션 명령,프로그래밍/모션 명령,,0.4831,0.0245,X,MoveJ,2,2,O,semantic_rank:11,page_275_img_0_0.jpeg,6,6,△,"1. page_378_img_2_0.jpeg | score=0.883 | stage=0.000
2. page_374_img_1_0.jpeg | score=0.818 | stage=0.000
3. page_374_img_0_0.jpeg | score=0.817 | stage=0.000
4. page_379_img_2_0.jpeg | score=0.763 | stage=0.000
5. page_375_img_0_0.jpeg | score=0.705 | stage=0.000
6. page_275_img_0_0.jpeg | score=0.705 | stage=0.000
7. page_378_img_0_0.jpeg | score=0.670 | stage=0.000
8. page_373_img_0_0.jpeg | score=0.650 | stage=0.000
9. page_379_img_1_0.jpeg | score=0.634 | stage=0.000
10. page_269_img_0_0.jpeg | score=0.628 | stage=0.000"
Q26,기존,소프트웨어 업데이트 모듈을 설치할 때 사용하는 패키지 파일의 확장자는 무엇입니까?,시스템 관리/소프트웨어 업데이트,시스템 관리/소프트웨어 업데이트,시스템 관리/소프트웨어 업데이트,0.5504,0.1249,O,.dm (다운로드 받은 모듈 패키지 설치 파일),1,1,O,"keyword:dm,다운로드,받은,모듈,패키지,설치; semantic_rank:1",page_167_img_2_0.jpeg,,8,△,"1. page_167_img_3_0.jpeg | score=1.326 | stage=0.500 | page=1.00
2. page_361_img_0_0.jpeg | score=1.321 | stage=0.712 | page=1.00; keyword=robot update; section=robot update
3. page_361_img_1_0.jpeg | score=1.318 | stage=0.712 | page=1.00; keyword=robot update; section=robot update
4. page_366_img_0_0.jpeg | score=1.287 | stage=0.500 | page=1.00
5. page_168_img_0_0.jpeg | score=1.240 | stage=0.500 | page=1.00
6. page_360_img_0_0.jpeg | score=1.203 | stage=0.712 | page=1.00; keyword=robot update; section=robot update
7. page_367_img_0_0.jpeg | score=1.188 | stage=0.500 | page=1.00
8. page_167_img_2_0.jpeg | score=1.138 | stage=0.500 | page=1.00
9. page_361_img_2_0.png | score=1.081 | stage=0.712 | page=1.00; keyword=robot update; section=robot update
10. page_166_img_1_0.jpeg | score=1.073 | stage=0.500 | page=1.00"
Q27,기존,공장 출하 상태로 시스템을 복원하는 '공장 초기화(Factory Reset)' 진행 시 삭제되는 데이터는 무엇입니까?,시스템 관리/공장 초기화,시스템 관리/공장 초기화,시스템 관리/공장 초기화,0.6347,0.2173,O,"데이터 베이스, 로그파일, 워크셀 아이템, 태스크 파일",1,1,O,"keyword:데이터,워크셀,아이템,태스크,파일; semantic_rank:6",page_370_img_0_0.jpeg,1,1,O,"1. page_370_img_0_0.jpeg | score=1.480 | stage=0.725 | page=1.00; keyword=factory reset,reset; section=factory reset
2. page_369_img_0_0.jpeg | score=1.261 | stage=0.500 | page=1.00
3. page_368_img_0_0.jpeg | score=1.098 | stage=0.500 | page=1.00
4. page_364_img_1_0.jpeg | score=0.942 | stage=0.350 | page=0.70
5. page_363_img_0_0.jpeg | score=0.908 | stage=0.225 | page=0.45
6. page_367_img_0_0.jpeg | score=0.855 | stage=0.500 | page=1.00
7. page_213_img_0_0.jpeg | score=0.734 | stage=0.013 | keyword=reset
8. page_214_img_0_0.jpeg | score=0.713 | stage=0.013 | keyword=reset
9. page_182_img_0_0.jpeg | score=0.694 | stage=0.000
10. page_197_img_0_0.jpeg | score=0.656 | stage=0.000"
Q28,기존,로봇 큐브 모듈 케이블을 결합할 때 방수 등급 강화를 위해 케이블에 결합해야 하는 부품은 무엇입니까?,설치/케이블 방수,설치/케이블 방수,설치/케이블 방수,0.6070,0.0572,O,그로밋 (Grommet),7,2,O,"keyword:그로밋,grommet; semantic_rank:1",page_405_img_0_0.jpeg,,7,△,"1. page_405_img_5_0.jpeg | score=1.294 | stage=0.646 | page=1.00; keyword=grommet; section=grommet
2. page_405_img_3_0.jpeg | score=1.290 | stage=0.646 | page=1.00; keyword=grommet; section=grommet
3. page_403_img_0_0.jpeg | score=1.224 | stage=0.350 | page=0.70
4. page_405_img_4_0.jpeg | score=1.125 | stage=0.646 | page=1.00; keyword=grommet; section=grommet
5. page_405_img_2_0.jpeg | score=1.123 | stage=0.646 | page=1.00; keyword=grommet; section=grommet
6. page_405_img_1_0.jpeg | score=1.120 | stage=0.646 | page=1.00; keyword=grommet; section=grommet
7. page_405_img_0_0.jpeg | score=1.106 | stage=0.646 | page=1.00; keyword=grommet; section=grommet
8. page_401_img_1_0.jpeg | score=0.920 | stage=0.225 | page=0.45
9. page_402_img_0_0.jpeg | score=0.911 | stage=0.350 | page=0.70
10. page_402_img_1_0.jpeg | score=0.910 | stage=0.350 | page=0.70"
Q29,기존,엔드 이펙터 툴의 중심 좌표계(Tool Coordinate)의 기준이 되는 z축의 방향은 플랜지 좌표계에서 어느 방향을 따라 회전합니까?,TCP/툴 좌표 설정,좌표계/오른손 법칙,,0.5598,0.0170,X,플랜지 좌표계의 z축,1,1,O,"keyword:플랜지,좌표계; semantic_rank:2",page_202_img_0_0.jpeg,,,X,"1. page_201_img_1_0.jpeg | score=0.881 | stage=0.000
2. page_202_img_1_0.jpeg | score=0.876 | stage=0.000
3. page_110_img_0_0.jpeg | score=0.794 | stage=0.000
4. page_175_img_1_0.jpeg | score=0.768 | stage=0.000
5. page_175_img_3_0.jpeg | score=0.763 | stage=0.000
6. page_203_img_0_0.jpeg | score=0.759 | stage=0.000
7. page_244_img_0_0.jpeg | score=0.753 | stage=0.000
8. page_378_img_2_0.jpeg | score=0.726 | stage=0.000
9. page_389_img_0_0.jpeg | score=0.726 | stage=0.000
10. page_201_img_0_0.jpeg | score=0.685 | stage=0.000"
Q30,기존,전원 입력 시 극성이 잘못 결선되었을 때 컨트롤러 고장을 막기 위해 주의해야 할 항목은 무엇입니까?,안전/전원/극성,안전/전원/극성,안전/전원/극성,0.5951,0.0719,O,입력 전압의 극성이 반대로 연결되지 않도록 주의,1,1,O,"keyword:전압의,전압,극성이,극성,반대로,연결되지; semantic_rank:4",page_403_img_0_0.jpeg,1,1,O,"1. page_403_img_0_0.jpeg | score=1.446 | stage=0.633 | page=1.00; section=cs-12p
2. page_399_img_0_0.jpeg | score=1.345 | stage=0.633 | page=1.00; section=cs-12p
3. page_400_img_0_0.jpeg | score=1.289 | stage=0.633 | page=1.00; section=cs-12p
4. page_402_img_0_0.jpeg | score=1.205 | stage=0.633 | page=1.00; section=cs-12p
5. page_402_img_1_0.jpeg | score=1.125 | stage=0.633 | page=1.00; section=cs-12p
6. page_398_img_0_0.jpeg | score=1.061 | stage=0.633 | page=1.00; section=cs-12p
7. page_401_img_1_0.jpeg | score=0.905 | stage=0.633 | page=1.00; section=cs-12p
8. page_401_img_0_0.jpeg | score=0.881 | stage=0.633 | page=1.00; section=cs-12p
9. page_121_img_0_0.jpeg | score=0.853 | stage=0.000
10. page_120_img_0_0.jpeg | score=0.711 | stage=0.000"
Q31,기존,티치 펜던트에 위치한 USB 포트의 주된 용도는 무엇입니까?,티치 펜던트/USB 데이터 관리,티치 펜던트/USB 데이터 관리,티치 펜던트/USB 데이터 관리,0.6251,0.0947,O,로봇 로그 저장매체 백업 및 태스크 내보내기/가져오기,2,1,O,"page; keyword:로봇,로그,저장매체,태스크,내보내기; semantic_rank:2",page_103_img_0_0.jpeg,,3,O,"1. page_102_img_0_0.jpeg | score=1.423 | stage=0.712 | page=1.00; keyword=usb; section=usb
2. page_104_img_0_0.jpeg | score=1.231 | stage=0.500 | page=1.00
3. page_103_img_0_0.jpeg | score=1.187 | stage=0.500 | page=1.00
4. page_105_img_0_0.jpeg | score=1.129 | stage=0.500 | page=1.00
5. page_105_img_1_0.jpeg | score=0.957 | stage=0.500 | page=1.00
6. page_101_img_0_0.jpeg | score=0.939 | stage=0.500 | page=1.00
7. page_100_img_0_0.jpeg | score=0.894 | stage=0.500 | page=1.00
8. page_401_img_0_0.jpeg | score=0.861 | stage=0.000
9. page_401_img_1_0.jpeg | score=0.857 | stage=0.000
10. page_119_img_0_0.jpeg | score=0.807 | stage=0.000"
Q32,기존,로봇이 프로그램 시작점으로 기본 복귀할 수 있도록 설정하는 위치의 명칭은 무엇입니까?,프로그램 실행/Home Position,프로그램 실행/Home Position,,0.5463,0.0224,X,Home Position (홈 포지션),4,4,O,"keyword:home,position; semantic_rank:2",page_192_img_0_0.jpeg,,,X,"1. page_181_img_0_0.jpeg | score=0.827 | stage=0.000
2. page_182_img_0_0.jpeg | score=0.792 | stage=0.000
3. page_195_img_0_0.jpeg | score=0.737 | stage=0.000
4. page_195_img_2_0.jpeg | score=0.713 | stage=0.000
5. page_178_img_0_0.jpeg | score=0.675 | stage=0.000
6. page_188_img_0_0.jpeg | score=0.617 | stage=0.000
7. page_189_img_0_0.jpeg | score=0.587 | stage=0.000
8. page_184_img_0_0.jpeg | score=0.559 | stage=0.000
9. page_298_img_2_0.jpeg | score=0.558 | stage=0.000
10. page_293_img_1_0.jpeg | score=0.553 | stage=0.000"
Q33,기존,사용자 계정 관리에서 관리자(Supervisor) 권한으로 접근할 때 입력해야 하는 초기 비밀번호는 무엇입니까?,사용자 관리/권한,사용자 관리/권한,사용자 관리/권한,0.5687,0.1290,O,admin,1,1,O,keyword:admin; semantic_rank:2,page_352_img_3_0.jpeg,2,2,O,"1. page_353_img_1_0.jpeg | score=1.516 | stage=0.762 | page=1.00; keyword=supervisor,password,admin,safety password; section=supervisor password,safety password
2. page_352_img_3_0.jpeg | score=1.431 | stage=0.662 | page=1.00; keyword=password,admin,safety password,lock; section=safety password
3. page_353_img_0_0.png | score=1.320 | stage=0.762 | page=1.00; keyword=supervisor,password,admin,safety password; section=supervisor password,safety password
4. page_352_img_1_0.png | score=1.242 | stage=0.662 | page=1.00; keyword=password,admin,safety password,lock; section=safety password
5. page_354_img_0_0.jpeg | score=1.126 | stage=0.625 | page=1.00; keyword=supervisor,password; section=supervisor password
6. page_350_img_0_0.jpeg | score=1.014 | stage=0.512 | page=1.00; keyword=setting
7. page_285_img_0_0.jpeg | score=0.862 | stage=0.150 | keyword=password,admin,safety password,setting; section=safety password
8. page_296_img_0_0.jpeg | score=0.756 | stage=0.013 | keyword=setting
9. page_169_img_2_0.jpeg | score=0.742 | stage=0.000
10. page_214_img_0_0.jpeg | score=0.726 | stage=0.150 | keyword=password,safety password,lock,setting; section=safety password"
Q34,기존,로봇을 운반이나 포장하기 위해 안전 복구 모드에서 사용할 수 있는 전용 기능의 이름은 무엇입니까?,안전 복구/패키징,안전 복구/Recovery,안전 복구/Recovery,0.5431,0.0418,O,패키징 모드,1,1,O,"keyword:패키징,모드; semantic_rank:7",page_184_img_0_0.jpeg,3,3,O,"1. page_181_img_0_0.jpeg | score=1.452 | stage=0.712 | page=1.00; keyword=recovery; section=recovery
2. page_182_img_0_0.jpeg | score=1.413 | stage=0.712 | page=1.00; keyword=recovery; section=recovery
3. page_184_img_0_0.jpeg | score=1.185 | stage=0.525 | page=1.00; keyword=joint,task
4. page_186_img_0_0.jpeg | score=1.144 | stage=0.712 | page=1.00; keyword=recovery; section=recovery
5. page_178_img_0_0.jpeg | score=0.972 | stage=0.450 | page=0.45; keyword=recovery,joint; section=recovery
6. page_179_img_1_0.jpeg | score=0.785 | stage=0.350 | page=0.70
7. page_177_img_1_0.jpeg | score=0.672 | stage=0.225 | page=0.45
8. page_92_img_1_0.jpeg | score=0.619 | stage=0.213 | keyword=recovery; section=recovery
9. page_48_img_0_0.jpeg | score=0.539 | stage=0.000
10. page_24_img_0_0.jpeg | score=0.536 | stage=0.000"
Q35,기존,Configurable 디지털 I/O 전원을 내부 전원과 분리하기 위해 TBPWR 단자블록에서 제거해야 하는 점퍼선 결선은 무엇입니까?,제어기 I/O 배선,제어기 I/O 배선,,0.5381,0.0130,X,VCC-VIO 및 GND-GIO,1,1,O,"keyword:vcc,vio,gnd,gio; semantic_rank:1",page_144_img_1_0.jpeg,2,2,O,"1. page_144_img_0_0.jpeg | score=0.868 | stage=0.000
2. page_144_img_1_0.jpeg | score=0.865 | stage=0.000
3. page_140_img_0_0.jpeg | score=0.845 | stage=0.000
4. page_141_img_1_0.jpeg | score=0.829 | stage=0.000
5. page_133_img_0_0.jpeg | score=0.806 | stage=0.000
6. page_136_img_0_0.png | score=0.789 | stage=0.000
7. page_95_img_0_0.jpeg | score=0.755 | stage=0.000
8. page_143_img_1_0.jpeg | score=0.740 | stage=0.000
9. page_143_img_0_0.jpeg | score=0.739 | stage=0.000
10. page_145_img_0_0.jpeg | score=0.734 | stage=0.000"
Q36,기존,공간 제한 구역을 '기울어진 직육면체(3포인트 & 높이)'로 설정할 때 3D 시뮬레이션 화면에서 지정해야 하는 3개의 점은 무엇입니까?,안전 설정/공간 제한 구역,안전 설정/공간 제한 구역,안전 설정/공간 제한 구역,0.5537,0.0529,O,"기준점, x축 위의 점, xy평면 위의 점",1,1,O,"keyword:기준점,위의; semantic_rank:1",page_237_img_0_0.jpeg,2,2,O,"1. page_238_img_0_0.jpeg | score=1.553 | stage=0.792 | page=1.00; keyword=space limit,zone; section=safety settings,space limit
2. page_237_img_0_0.jpeg | score=1.506 | stage=0.792 | page=1.00; keyword=space limit,zone; section=safety settings,space limit
3. page_239_img_0_0.jpeg | score=1.481 | stage=0.792 | page=1.00; keyword=space limit,zone; section=safety settings,space limit
4. page_232_img_0_0.jpeg | score=1.427 | stage=0.817 | page=1.00; keyword=point 1,point 2,3 point,point; section=safety settings,point
5. page_240_img_0_0.jpeg | score=1.388 | stage=0.633 | page=1.00; section=safety settings
6. page_238_img_1_0.jpeg | score=1.329 | stage=0.792 | page=1.00; keyword=space limit,zone; section=safety settings,space limit
7. page_233_img_1_0.jpeg | score=1.323 | stage=0.804 | page=1.00; keyword=point 1,point 2,point; section=safety settings,point
8. page_235_img_1_0.jpeg | score=1.277 | stage=0.792 | page=1.00; keyword=point 1,point; section=safety settings,point
9. page_235_img_0_0.jpeg | score=1.270 | stage=0.792 | page=1.00; keyword=point 1,point; section=safety settings,point
10. page_236_img_0_0.jpeg | score=1.235 | stage=0.633 | page=1.00; section=safety settings"
Q37,기존,힘 제어 모드에서 외력 센서값 오차를 초기화하기 위해 Custom Code에 입력해야 하는 DRL 명령어는 무엇입니까?,힘 제어/Custom Code,힘 제어/Custom Code,힘 제어/Custom Code,0.6182,0.1409,O,set_external_force_reset(),1,1,O,"keyword:set,external,force,reset; semantic_rank:9",page_310_img_1_0.jpeg,3,1,O,"1. page_310_img_1_0.jpeg | score=1.401 | stage=0.658 | page=1.00; keyword=custom code,drl; section=custom code
2. page_305_img_0_0.jpeg | score=1.258 | stage=0.500 | page=1.00
3. page_304_img_0_0.jpeg | score=1.131 | stage=0.658 | page=1.00; keyword=force control,compliance; section=force control
4. page_303_img_0_0.jpeg | score=1.127 | stage=0.512 | page=1.00; keyword=compliance
5. page_306_img_0_0.jpeg | score=1.126 | stage=0.500 | page=1.00
6. page_311_img_0_0.jpeg | score=1.124 | stage=0.512 | page=1.00; keyword=set_external_force_reset
7. page_309_img_0_0.jpeg | score=1.122 | stage=0.646 | page=1.00; keyword=custom code; section=custom code
8. page_309_img_1_0.jpeg | score=1.113 | stage=0.646 | page=1.00; keyword=custom code; section=custom code
9. page_307_img_1_0.jpeg | score=1.047 | stage=0.500 | page=1.00
10. page_302_img_1_0.jpeg | score=0.924 | stage=0.512 | page=1.00; keyword=compliance"
Q38,기존,PROFINET 통신 구조에서 로봇 상태(Robot State) 정보를 전송하도록 할당된 Slot 번호는 몇 번입니까?,통신/PROFINET,통신/PROFINET,통신/PROFINET,0.6153,0.1345,O,Slot#1,1,1,O,keyword:slot; semantic_rank:1,page_155_img_1_0.jpeg,2,2,O,"1. page_154_img_1_0.jpeg | score=1.488 | stage=0.762 | page=1.00; keyword=profinet,slot,ethernet,ip; section=profinet
2. page_155_img_1_0.jpeg | score=1.364 | stage=0.537 | page=1.00; keyword=slot,slot#1,gpr
3. page_101_img_0_0.jpeg | score=0.788 | stage=0.000
4. page_102_img_0_0.jpeg | score=0.653 | stage=0.013 | keyword=ip
5. page_357_img_0_0.jpeg | score=0.614 | stage=0.000
6. page_100_img_0_0.jpeg | score=0.538 | stage=0.000
7. page_220_img_0_0.jpeg | score=0.533 | stage=0.000
8. page_387_img_0_0.jpeg | score=0.529 | stage=0.000
9. page_388_img_2_0.jpeg | score=0.487 | stage=0.000
10. page_292_img_0_0.jpeg | score=0.397 | stage=0.000"
Q39,추가,제품을 처음 개봉할 때 로봇과 컨트롤러는 몇 개의 상자에 나누어 배송됩니까?,설치/제품 개봉,설치/제품 개봉,설치/제품 개봉,0.5153,0.1004,O,로봇 및 컨트롤러는 2개의 상자에 담겨 배송됨,1,1,O,"page; keyword:로봇,컨트롤러,상자에,상자,담겨; semantic_rank:1",page_83_img_0_0.jpeg,1,1,O,"1. page_83_img_0_0.jpeg | score=1.387 | stage=0.500 | page=1.00
2. page_104_img_0_0.jpeg | score=1.196 | stage=0.500 | page=1.00
3. page_84_img_0_0.jpeg | score=1.134 | stage=0.500 | page=1.00
4. page_105_img_0_0.jpeg | score=1.118 | stage=0.500 | page=1.00
5. page_103_img_0_0.jpeg | score=1.037 | stage=0.500 | page=1.00
6. page_98_img_0_0.jpeg | score=1.010 | stage=0.500 | page=1.00
7. page_98_img_1_0.jpeg | score=1.003 | stage=0.500 | page=1.00
8. page_105_img_1_0.jpeg | score=0.954 | stage=0.500 | page=1.00
9. page_101_img_0_0.jpeg | score=0.856 | stage=0.500 | page=1.00
10. page_98_img_2_0.jpeg | score=0.844 | stage=0.500 | page=1.00"
Q40,추가,티치펜던트와 로봇 케이블을 컨트롤러에 연결할 때 케이블이 빠지지 않도록 어떻게 연결해야 합니까?,설치/케이블 연결,설치/케이블 연결,설치/케이블 연결,0.5940,0.0729,O,해당 연결부에 딸깍 소리가 날 때까지 연결해야 함,1,1,O,"page; keyword:해당,연결부에,연결부,딸깍,소리가,소리; semantic_rank:1",page_84_img_0_0.jpeg,8,4,O,"1. page_83_img_0_0.jpeg | score=1.396 | stage=0.500 | page=1.00
2. page_119_img_0_0.jpeg | score=1.329 | stage=0.500 | page=1.00
3. page_119_img_1_0.jpeg | score=1.312 | stage=0.500 | page=1.00
4. page_84_img_0_0.jpeg | score=1.265 | stage=0.500 | page=1.00
5. page_118_img_0_0.jpeg | score=1.242 | stage=0.500 | page=1.00
6. page_120_img_0_0.jpeg | score=1.231 | stage=0.500 | page=1.00
7. page_116_img_0_0.jpeg | score=1.051 | stage=0.225 | page=0.45
8. page_88_img_1_0.jpeg | score=1.034 | stage=0.225 | page=0.45
9. page_86_img_0_0.jpeg | score=0.889 | stage=0.500 | page=1.00
10. page_401_img_1_0.jpeg | score=0.881 | stage=0.000"
Q41,추가,컨트롤러 전원 케이블을 연결한 후 안전을 위해 반드시 확인해야 하는 전기적 조건은 무엇입니까?,안전/전원/접지,안전/전원/접지,,0.6226,0.0121,X,로봇이 올바르게 접지되었는지 확인해야 함,1,1,O,"keyword:로봇,올바르게; semantic_rank:2",page_86_img_0_0.jpeg,4,4,O,"1. page_121_img_0_0.jpeg | score=0.885 | stage=0.000
2. page_403_img_0_0.jpeg | score=0.868 | stage=0.000
3. page_120_img_0_0.jpeg | score=0.830 | stage=0.000
4. page_86_img_0_0.jpeg | score=0.809 | stage=0.000
5. page_400_img_0_0.jpeg | score=0.745 | stage=0.000
6. page_399_img_0_0.jpeg | score=0.743 | stage=0.000
7. page_119_img_0_0.jpeg | score=0.741 | stage=0.000
8. page_119_img_1_0.jpeg | score=0.733 | stage=0.000
9. page_163_img_0_0.jpeg | score=0.697 | stage=0.000
10. page_118_img_0_0.jpeg | score=0.676 | stage=0.000"
Q42,추가,컨트롤러를 바닥에 설치할 때 기기 내부 환기를 위해 양쪽 면에 확보해야 하는 최소 여유 공간은 얼마입니까?,설치/컨트롤러 배치,설치/컨트롤러 배치,설치/컨트롤러 배치,0.5627,0.0903,O,양쪽 면에 약 50 mm의 여유 공간을 확보해야 함,1,1,O,"keyword:양쪽,면에,50,mm,여유,공간을; semantic_rank:1",page_88_img_0_0.jpeg,4,1,O,"1. page_88_img_0_0.jpeg | score=1.290 | stage=0.500 | page=1.00
2. page_88_img_1_0.jpeg | score=1.286 | stage=0.500 | page=1.00
3. page_86_img_0_0.jpeg | score=1.212 | stage=0.500 | page=1.00
4. page_400_img_0_0.jpeg | score=0.849 | stage=0.000
5. page_121_img_0_0.jpeg | score=0.802 | stage=0.000
6. page_399_img_0_0.jpeg | score=0.800 | stage=0.000
7. page_85_img_0_0.jpeg | score=0.782 | stage=0.350 | page=0.70
8. page_240_img_0_0.jpeg | score=0.771 | stage=0.000
9. page_401_img_1_0.jpeg | score=0.761 | stage=0.000
10. page_118_img_0_0.jpeg | score=0.746 | stage=0.000"
Q43,추가,로봇 설치 후 첫 부팅 시 비상 정지 경고 팝업이 나타나면 비상 정지 버튼을 어떻게 해제해야 합니까?,티치 펜던트/비상정지,설치/기구 고정,,0.5349,0.0122,X,비상 정지 버튼을 시계 방향으로 돌려 해제함,1,1,O,"page; keyword:비상,정지,버튼을,버튼,시계,방향으로; semantic_rank:1",page_89_img_0_0.jpeg,2,2,O,"1. page_89_img_1_0.jpeg | score=0.911 | stage=0.000
2. page_89_img_0_0.jpeg | score=0.890 | stage=0.000
3. page_24_img_0_0.jpeg | score=0.823 | stage=0.000
4. page_220_img_0_0.jpeg | score=0.823 | stage=0.000
5. page_103_img_0_0.jpeg | score=0.760 | stage=0.000
6. page_293_img_1_0.jpeg | score=0.677 | stage=0.000
7. page_88_img_1_0.jpeg | score=0.642 | stage=0.000
8. page_352_img_3_0.jpeg | score=0.600 | stage=0.000
9. page_88_img_0_0.jpeg | score=0.598 | stage=0.000
10. page_104_img_0_0.jpeg | score=0.563 | stage=0.000"
Q44,추가,시스템을 정상 종료할 때 전원 종료 팝업에서 눌러야 하는 버튼은 무엇입니까?,티치 펜던트/전원 종료,티치 펜던트/전원 종료,티치 펜던트/전원 종료,0.5838,0.0367,O,전원 종료 팝업에서 확인 버튼을 눌러 종료함,1,1,O,"page; keyword:전원,종료,팝업에서,팝업,버튼을,버튼; semantic_rank:1",page_94_img_0_0.jpeg,1,1,O,"1. page_94_img_0_0.jpeg | score=1.388 | stage=0.500 | page=1.00
2. page_95_img_0_0.jpeg | score=1.326 | stage=0.500 | page=1.00
3. page_96_img_0_0.jpeg | score=1.210 | stage=0.500 | page=1.00
4. page_93_img_0_0.jpeg | score=1.071 | stage=0.500 | page=1.00
5. page_163_img_0_0.jpeg | score=0.855 | stage=0.000
6. page_89_img_1_0.jpeg | score=0.844 | stage=0.000
7. page_163_img_1_0.jpeg | score=0.825 | stage=0.000
8. page_89_img_0_0.jpeg | score=0.821 | stage=0.000
9. page_125_img_0_0.jpeg | score=0.777 | stage=0.000
10. page_88_img_1_0.jpeg | score=0.729 | stage=0.000"
Q45,추가,로봇을 설치 장소로 옮길 때 들어 올려야 하는 부분은 어디입니까?,설치/로봇 운반,설치/로봇 운반,,0.5967,0.0028,X,매뉴얼 그림에서 음영으로 표시된 인양 지점을 들어 이동함,1,1,O,"page; keyword:음영,표시된,인양,지점,들어",page_98_img_1_0.jpeg,3,3,O,"1. page_113_img_0_0.jpeg | score=0.832 | stage=0.000
2. page_98_img_0_0.jpeg | score=0.809 | stage=0.000
3. page_98_img_1_0.jpeg | score=0.805 | stage=0.000
4. page_123_img_0_0.jpeg | score=0.789 | stage=0.000
5. page_114_img_0_0.jpeg | score=0.758 | stage=0.000
6. page_84_img_0_0.jpeg | score=0.723 | stage=0.000
7. page_115_img_0_0.jpeg | score=0.657 | stage=0.000
8. page_98_img_2_0.jpeg | score=0.634 | stage=0.000
9. page_93_img_0_0.jpeg | score=0.613 | stage=0.000
10. page_188_img_0_0.jpeg | score=0.583 | stage=0.000"
Q46,추가,전자파 노이즈 영향을 줄이기 위해 매니퓰레이터 케이블 양단에 설치를 권장하는 부품은 무엇입니까?,설치/케이블 노이즈 대책,설치/케이블 노이즈 대책,설치/케이블 노이즈 대책,0.5646,0.0482,O,페라이트코어를 설치하는 것을 권장함,2,1,O,"keyword:페라이트코어를,페라이트코어,설치하는,설치하,것을; semantic_rank:1",page_119_img_1_0.jpeg,4,2,O,"1. page_120_img_0_0.jpeg | score=1.348 | stage=0.500 | page=1.00
2. page_119_img_1_0.jpeg | score=1.299 | stage=0.500 | page=1.00
3. page_119_img_0_0.jpeg | score=1.295 | stage=0.500 | page=1.00
4. page_118_img_0_0.jpeg | score=1.281 | stage=0.500 | page=1.00
5. page_116_img_0_0.jpeg | score=1.241 | stage=0.500 | page=1.00
6. page_115_img_0_0.jpeg | score=1.151 | stage=0.500 | page=1.00
7. page_121_img_0_0.jpeg | score=1.093 | stage=0.350 | page=0.70
8. page_402_img_0_0.jpeg | score=0.868 | stage=0.000
9. page_400_img_0_0.jpeg | score=0.840 | stage=0.000
10. page_403_img_0_0.jpeg | score=0.780 | stage=0.000"
Q47,추가,매니퓰레이터 연결 케이블을 컨트롤러에 연결한 뒤 케이블이 빠지지 않도록 추가로 해야 하는 조치는 무엇입니까?,설치/매니퓰레이터 연결,설치/매니퓰레이터 연결,설치/매니퓰레이터 연결,0.6230,0.0381,O,연결 후 고정용 고리를 체결해야 함,1,1,O,"keyword:연결,고정용,고리를,고리; semantic_rank:1",page_120_img_0_0.jpeg,9,4,O,"1. page_118_img_0_0.jpeg | score=1.398 | stage=0.500 | page=1.00
2. page_119_img_1_0.jpeg | score=1.362 | stage=0.500 | page=1.00
3. page_119_img_0_0.jpeg | score=1.343 | stage=0.500 | page=1.00
4. page_120_img_0_0.jpeg | score=1.232 | stage=0.500 | page=1.00
5. page_121_img_0_0.jpeg | score=1.083 | stage=0.500 | page=1.00
6. page_400_img_0_0.jpeg | score=0.887 | stage=0.000
7. page_116_img_0_0.jpeg | score=0.869 | stage=0.225 | page=0.45
8. page_402_img_0_0.jpeg | score=0.805 | stage=0.000
9. page_401_img_1_0.jpeg | score=0.799 | stage=0.000
10. page_403_img_0_0.jpeg | score=0.773 | stage=0.000"
