질문 번호,질문,정답 이미지,BBox 기반 매핑 정답 순위,BBox 기반 매핑 Top-10,BBox 필터 + SigLIP 정답 순위,BBox 필터 + SigLIP Top-10
Q37,힘 제어 모드에서 외력 센서값 오차를 초기화하기 위해 Custom Code에 입력해야 하는 DRL 명령어는 무엇입니까?,page_310_img_1_0.jpeg,10,"page_308_img_1_0.jpeg
page_280_img_0_0.jpeg
page_281_img_1_0.jpeg
page_276_img_0_0.jpeg
page_277_img_0_0.jpeg
page_299_img_0_0.jpeg
page_311_img_0_0.jpeg
page_309_img_1_0.jpeg
page_309_img_0_0.jpeg
page_310_img_1_0.jpeg",,"page_309_img_1_0.jpeg
page_308_img_1_0.jpeg
page_281_img_1_0.jpeg
page_280_img_0_0.jpeg
page_277_img_0_0.jpeg
page_276_img_0_0.jpeg
page_173_img_1_0.jpeg
page_299_img_0_0.jpeg
page_278_img_1_0.jpeg
page_311_img_0_0.jpeg"
Q38,PROFINET 통신 구조에서 로봇 상태(Robot State) 정보를 전송하도록 할당된 Slot 번호는 몇 번입니까?,page_155_img_1_0.jpeg,3,"page_154_img_1_0.jpeg
page_357_img_0_0.jpeg
page_155_img_1_0.jpeg
page_168_img_0_0.jpeg
page_291_img_0_0.jpeg
page_299_img_0_0.jpeg
page_298_img_2_0.jpeg
page_298_img_0_0.jpeg
page_292_img_0_0.jpeg
page_167_img_3_0.jpeg",1,"page_155_img_1_0.jpeg
page_154_img_1_0.jpeg
page_357_img_0_0.jpeg
page_168_img_0_0.jpeg
page_291_img_0_0.jpeg
page_298_img_2_0.jpeg
page_298_img_0_0.jpeg
page_292_img_0_0.jpeg
page_299_img_0_0.jpeg
page_167_img_3_0.jpeg"
Q39,제품을 처음 개봉할 때 로봇과 컨트롤러는 몇 개의 상자에 나누어 배송됩니까?,page_83_img_0_0.jpeg,1,"page_83_img_0_0.jpeg
page_84_img_0_0.jpeg
page_397_img_0_0.jpeg
page_139_img_0_0.jpeg
page_85_img_0_0.jpeg
page_184_img_0_0.jpeg
page_95_img_0_0.jpeg
page_104_img_0_0.jpeg
page_400_img_0_0.jpeg
page_401_img_1_0.jpeg",1,"page_83_img_0_0.jpeg
page_84_img_0_0.jpeg
page_398_img_0_0.jpeg
page_397_img_0_0.jpeg
page_104_img_0_0.jpeg
page_92_img_1_0.jpeg
page_139_img_0_0.jpeg
page_85_img_0_0.jpeg
page_140_img_0_0.jpeg
page_105_img_0_0.jpeg"
Q40,티치펜던트와 로봇 케이블을 컨트롤러에 연결할 때 케이블이 빠지지 않도록 어떻게 연결해야 합니까?,page_84_img_0_0.jpeg,10,"page_83_img_0_0.jpeg
page_397_img_0_0.jpeg
page_119_img_1_0.jpeg
page_88_img_1_0.jpeg
page_116_img_0_0.jpeg
page_120_img_0_0.jpeg
page_89_img_1_0.jpeg
page_123_img_0_0.jpeg
page_104_img_0_0.jpeg
page_84_img_0_0.jpeg",10,"page_83_img_0_0.jpeg
page_398_img_0_0.jpeg
page_397_img_0_0.jpeg
page_119_img_1_0.jpeg
page_120_img_0_0.jpeg
page_121_img_0_0.jpeg
page_88_img_1_0.jpeg
page_116_img_0_0.jpeg
page_89_img_1_0.jpeg
page_84_img_0_0.jpeg"
Q41,컨트롤러 전원 케이블을 연결한 후 안전을 위해 반드시 확인해야 하는 전기적 조건은 무엇입니까?,page_86_img_0_0.jpeg,2,"page_120_img_0_0.jpeg
page_86_img_0_0.jpeg
page_121_img_0_0.jpeg
page_119_img_1_0.jpeg
page_133_img_0_0.jpeg
page_397_img_0_0.jpeg
page_88_img_1_0.jpeg
page_145_img_0_0.jpeg
page_119_img_0_0.jpeg
page_123_img_0_0.jpeg",2,"page_120_img_0_0.jpeg
page_86_img_0_0.jpeg
page_121_img_0_0.jpeg
page_119_img_1_0.jpeg
page_163_img_0_0.jpeg
page_133_img_0_0.jpeg
page_403_img_0_0.jpeg
page_398_img_0_0.jpeg
page_397_img_0_0.jpeg
page_88_img_1_0.jpeg"
Q42,컨트롤러를 바닥에 설치할 때 기기 내부 환기를 위해 양쪽 면에 확보해야 하는 최소 여유 공간은 얼마입니까?,page_88_img_0_0.jpeg,8,"page_88_img_1_0.jpeg
page_120_img_0_0.jpeg
page_119_img_1_0.jpeg
page_116_img_0_0.jpeg
page_113_img_0_0.jpeg
page_86_img_0_0.jpeg
page_121_img_0_0.jpeg
page_88_img_0_0.jpeg
page_123_img_0_0.jpeg
page_125_img_0_0.jpeg",2,"page_88_img_1_0.jpeg
page_88_img_0_0.jpeg
page_120_img_0_0.jpeg
page_116_img_0_0.jpeg
page_119_img_1_0.jpeg
page_113_img_0_0.jpeg
page_86_img_0_0.jpeg
page_121_img_0_0.jpeg
page_403_img_0_0.jpeg
page_125_img_0_0.jpeg"
Q43,로봇 설치 후 첫 부팅 시 비상 정지 경고 팝업이 나타나면 비상 정지 버튼을 어떻게 해제해야 합니까?,page_89_img_0_0.jpeg,2,"page_89_img_1_0.jpeg
page_89_img_0_0.jpeg
page_24_img_0_0.jpeg
page_296_img_0_0.jpeg
page_88_img_1_0.jpeg
page_88_img_0_0.jpeg
page_227_img_0_0.jpeg
page_220_img_0_0.jpeg
page_245_img_0_0.jpeg
page_243_img_0_0.jpeg",2,"page_89_img_1_0.jpeg
page_89_img_0_0.jpeg
page_24_img_0_0.jpeg
page_88_img_1_0.jpeg
page_88_img_0_0.jpeg
page_296_img_0_0.jpeg
page_227_img_0_0.jpeg
page_220_img_0_0.jpeg
page_245_img_0_0.jpeg
page_243_img_0_0.jpeg"
Q44,시스템을 정상 종료할 때 전원 종료 팝업에서 눌러야 하는 버튼은 무엇입니까?,page_94_img_0_0.jpeg,1,"page_94_img_0_0.jpeg
page_163_img_1_0.jpeg
page_163_img_0_0.jpeg
page_89_img_1_0.jpeg
page_89_img_0_0.jpeg
page_95_img_0_0.jpeg
page_125_img_0_0.jpeg
page_88_img_1_0.jpeg
page_24_img_0_0.jpeg
page_96_img_0_0.jpeg",1,"page_94_img_0_0.jpeg
page_163_img_0_0.jpeg
page_89_img_1_0.jpeg
page_163_img_1_0.jpeg
page_89_img_0_0.jpeg
page_95_img_0_0.jpeg
page_125_img_0_0.jpeg
page_88_img_1_0.jpeg
page_96_img_0_0.jpeg
page_24_img_0_0.jpeg"
Q45,로봇을 설치 장소로 옮길 때 들어 올려야 하는 부분은 어디입니까?,page_98_img_1_0.jpeg,,"page_113_img_0_0.jpeg
page_123_img_0_0.jpeg
page_84_img_0_0.jpeg
page_114_img_0_0.jpeg
page_93_img_0_0.jpeg
page_115_img_0_0.jpeg
page_124_img_0_0.jpeg
page_192_img_0_0.jpeg
page_125_img_0_0.jpeg
page_85_img_0_0.jpeg",3,"page_113_img_0_0.jpeg
page_98_img_0_0.jpeg
page_98_img_1_0.jpeg
page_123_img_0_0.jpeg
page_84_img_0_0.jpeg
page_114_img_0_0.jpeg
page_93_img_0_0.jpeg
page_192_img_0_0.jpeg
page_115_img_0_0.jpeg
page_124_img_0_0.jpeg"
Q46,전자파 노이즈 영향을 줄이기 위해 매니퓰레이터 케이블 양단에 설치를 권장하는 부품은 무엇입니까?,page_119_img_1_0.jpeg,2,"page_120_img_0_0.jpeg
page_119_img_1_0.jpeg
page_116_img_0_0.jpeg
page_121_img_0_0.jpeg
page_397_img_0_0.jpeg
page_98_img_0_0.jpeg
page_115_img_0_0.jpeg
page_98_img_1_0.jpeg
page_123_img_0_0.jpeg
page_119_img_0_0.jpeg",3,"page_120_img_0_0.jpeg
page_121_img_0_0.jpeg
page_119_img_1_0.jpeg
page_116_img_0_0.jpeg
page_398_img_0_0.jpeg
page_397_img_0_0.jpeg
page_98_img_0_0.jpeg
page_98_img_1_0.jpeg
page_123_img_0_0.jpeg
page_115_img_0_0.jpeg"
Q47,매니퓰레이터 연결 케이블을 컨트롤러에 연결한 뒤 케이블이 빠지지 않도록 추가로 해야 하는 조치는 무엇입니까?,page_120_img_0_0.jpeg,1,"page_120_img_0_0.jpeg
page_119_img_1_0.jpeg
page_121_img_0_0.jpeg
page_83_img_0_0.jpeg
page_86_img_0_0.jpeg
page_397_img_0_0.jpeg
page_116_img_0_0.jpeg
page_98_img_0_0.jpeg
page_118_img_0_0.jpeg
page_123_img_0_0.jpeg",1,"page_120_img_0_0.jpeg
page_121_img_0_0.jpeg
page_119_img_1_0.jpeg
page_83_img_0_0.jpeg
page_86_img_0_0.jpeg
page_163_img_0_0.jpeg
page_398_img_0_0.jpeg
page_397_img_0_0.jpeg
page_98_img_0_0.jpeg
page_116_img_0_0.jpeg"
Q48,툴을 툴 플랜지에 고정할 때 사용하는 볼트 수와 권장 체결 토크는 얼마입니까?,page_123_img_0_0.jpeg,2,"page_93_img_0_0.jpeg
page_123_img_0_0.jpeg
page_84_img_0_0.jpeg
page_205_img_1_0.jpeg
page_94_img_0_0.jpeg
page_121_img_0_0.jpeg
page_115_img_0_0.jpeg
page_124_img_0_0.jpeg
page_125_img_0_0.jpeg
page_96_img_0_0.jpeg",1,"page_123_img_0_0.jpeg
page_93_img_0_0.jpeg
page_84_img_0_0.jpeg
page_94_img_0_0.jpeg
page_205_img_1_0.jpeg
page_206_img_0_0.jpeg
page_121_img_0_0.jpeg
page_95_img_0_0.jpeg
page_124_img_0_0.jpeg
page_115_img_0_0.jpeg"
Q49,컨트롤러에서 시스템 전원을 켤 때 누르는 물리적 스위치는 어디에 있습니까?,page_125_img_0_0.jpeg,1,"page_125_img_0_0.jpeg
page_88_img_1_0.jpeg
page_89_img_1_0.jpeg
page_121_img_0_0.jpeg
page_163_img_1_0.jpeg
page_163_img_0_0.jpeg
page_397_img_0_0.jpeg
page_144_img_0_0.jpeg
page_144_img_1_0.jpeg
page_86_img_0_0.jpeg",1,"page_125_img_0_0.jpeg
page_88_img_1_0.jpeg
page_89_img_1_0.jpeg
page_121_img_0_0.jpeg
page_163_img_0_0.jpeg
page_163_img_1_0.jpeg
page_398_img_0_0.jpeg
page_397_img_0_0.jpeg
page_144_img_0_0.jpeg
page_144_img_1_0.jpeg"
Q50,플랜지 디지털 출력이 활성화되었을 때와 비활성화되었을 때 출력 채널 상태는 각각 어떻게 됩니까?,page_130_img_0_0.jpeg,1,"page_130_img_0_0.jpeg
page_336_img_0_0.jpeg
page_347_img_0_0.jpeg
page_335_img_2_0.jpeg
page_335_img_1_0.jpeg
page_139_img_0_0.jpeg
page_346_img_0_0.jpeg
page_132_img_0_0.png
page_96_img_0_0.jpeg
page_144_img_0_0.jpeg",1,"page_130_img_0_0.jpeg
page_132_img_0_0.png
page_336_img_0_0.jpeg
page_347_img_0_0.jpeg
page_346_img_0_0.jpeg
page_334_img_0_0.jpeg
page_335_img_2_0.jpeg
page_335_img_1_0.jpeg
page_139_img_0_0.jpeg
page_140_img_0_0.jpeg"
Q51,플랜지 아날로그 입력 기능에서 설정 가능한 입력 모드는 무엇입니까?,page_132_img_0_0.png,5,"page_130_img_0_0.jpeg
page_336_img_0_0.jpeg
page_333_img_0_0.jpeg
page_137_img_0_0.jpeg
page_132_img_0_0.png
page_136_img_0_0.png
page_135_img_0_0.jpeg
page_136_img_1_0.jpeg
page_133_img_0_0.jpeg
page_138_img_0_0.jpeg",1,"page_132_img_0_0.png
page_136_img_0_0.png
page_137_img_0_0.jpeg
page_130_img_0_0.jpeg
page_336_img_0_0.jpeg
page_333_img_0_0.jpeg
page_135_img_0_0.jpeg
page_338_img_0_0.jpeg
page_136_img_1_0.jpeg
page_133_img_0_0.jpeg"
Q52,컨트롤러 I/O 단자를 통해 연결할 수 있는 대표적인 안전기기에는 무엇이 있습니까?,page_133_img_0_0.jpeg,1,"page_133_img_0_0.jpeg
page_145_img_0_0.jpeg
page_147_img_0_0.jpeg
page_139_img_0_0.jpeg
page_142_img_0_0.jpeg
page_144_img_0_0.jpeg
page_144_img_1_0.jpeg
page_142_img_1_0.jpeg
page_148_img_0_0.jpeg
page_141_img_1_0.jpeg",1,"page_133_img_0_0.jpeg
page_145_img_0_0.jpeg
page_147_img_0_0.jpeg
page_139_img_0_0.jpeg
page_140_img_0_0.jpeg
page_144_img_0_0.jpeg
page_144_img_1_0.jpeg
page_142_img_0_0.jpeg
page_142_img_1_0.jpeg
page_242_img_0_0.jpeg"
Q53,컨트롤러의 외부 엔코더 입력 단자 TBEN은 어떤 엔코더 상을 입력받을 수 있습니까?,page_137_img_0_0.jpeg,1,"page_137_img_0_0.jpeg
page_147_img_0_0.jpeg
page_145_img_0_0.jpeg
page_133_img_0_0.jpeg
page_142_img_0_0.jpeg
page_139_img_0_0.jpeg
page_148_img_0_0.jpeg
page_141_img_1_0.jpeg
page_142_img_1_0.jpeg
page_136_img_0_0.png",1,"page_137_img_0_0.jpeg
page_136_img_0_0.png
page_147_img_0_0.jpeg
page_145_img_0_0.jpeg
page_133_img_0_0.jpeg
page_138_img_0_0.jpeg
page_138_img_1_0.jpeg
page_148_img_0_0.jpeg
page_139_img_0_0.jpeg
page_142_img_1_0.jpeg"
Q54,컨트롤러의 Configurable 디지털 I/O는 디지털 입력과 디지털 출력을 각각 몇 개씩 제공합니까?,page_139_img_0_0.jpeg,1,"page_139_img_0_0.jpeg
page_144_img_0_0.jpeg
page_144_img_1_0.jpeg
page_145_img_0_0.jpeg
page_333_img_0_0.jpeg
page_336_img_0_0.jpeg
page_141_img_1_0.jpeg
page_142_img_0_0.jpeg
page_142_img_1_0.jpeg
page_137_img_0_0.jpeg",1,"page_139_img_0_0.jpeg
page_144_img_0_0.jpeg
page_140_img_0_0.jpeg
page_144_img_1_0.jpeg
page_145_img_0_0.jpeg
page_333_img_0_0.jpeg
page_142_img_1_0.jpeg
page_136_img_0_0.png
page_137_img_0_0.jpeg
page_336_img_0_0.jpeg"
Q55,단순 부하를 구동할 때 TBCO 단자블록에서 부하는 어떤 단자 사이에 연결합니까?,page_141_img_1_0.jpeg,1,"page_141_img_1_0.jpeg
page_142_img_0_0.jpeg
page_142_img_1_0.jpeg
page_133_img_0_0.jpeg
page_145_img_0_0.jpeg
page_397_img_0_0.jpeg
page_144_img_0_0.jpeg
page_147_img_0_0.jpeg
page_144_img_1_0.jpeg
page_143_img_1_0.jpeg",1,"page_141_img_1_0.jpeg
page_142_img_1_0.jpeg
page_142_img_0_0.jpeg
page_133_img_0_0.jpeg
page_136_img_0_0.png
page_145_img_0_0.jpeg
page_398_img_0_0.jpeg
page_397_img_0_0.jpeg
page_102_img_0_0.jpeg
page_137_img_0_0.jpeg"
Q56,Sink type 입력기기와 연결할 때 Oxx 단자와 GIO 단자는 각각 어디에 연결합니까?,page_142_img_0_0.jpeg,1,"page_142_img_0_0.jpeg
page_142_img_1_0.jpeg
page_144_img_0_0.jpeg
page_144_img_1_0.jpeg
page_141_img_1_0.jpeg
page_145_img_0_0.jpeg
page_128_img_0_0.jpeg
page_139_img_0_0.jpeg
page_133_img_0_0.jpeg
page_143_img_1_0.jpeg",1,"page_142_img_0_0.jpeg
page_142_img_1_0.jpeg
page_144_img_0_0.jpeg
page_144_img_1_0.jpeg
page_141_img_1_0.jpeg
page_145_img_0_0.jpeg
page_128_img_0_0.jpeg
page_139_img_0_0.jpeg
page_140_img_0_0.jpeg
page_136_img_0_0.png"
Q57,테스트 펄스가 포함된 안전신호를 연결할 수 있는 Safety Controller 전용 안전 입력 단자는 무엇입니까?,page_147_img_0_0.jpeg,1,"page_147_img_0_0.jpeg
page_145_img_0_0.jpeg
page_133_img_0_0.jpeg
page_142_img_0_0.jpeg
page_142_img_1_0.jpeg
page_241_img_0_0.jpeg
page_144_img_0_0.jpeg
page_139_img_0_0.jpeg
page_144_img_1_0.jpeg
page_137_img_0_0.jpeg",1,"page_147_img_0_0.jpeg
page_145_img_0_0.jpeg
page_133_img_0_0.jpeg
page_142_img_0_0.jpeg
page_142_img_1_0.jpeg
page_148_img_0_0.jpeg
page_242_img_0_0.jpeg
page_241_img_0_0.jpeg
page_144_img_0_0.jpeg
page_138_img_0_0.jpeg"
Q58,컨트롤러 네트워크 연결에서 WAN 포트와 LAN 포트의 용도는 각각 무엇입니까?,page_148_img_0_0.jpeg,1,"page_148_img_0_0.jpeg
page_133_img_0_0.jpeg
page_355_img_1_0.jpeg
page_144_img_0_0.jpeg
page_144_img_1_0.jpeg
page_355_img_0_0.jpeg
page_152_img_3_0.jpeg
page_145_img_0_0.jpeg
page_104_img_0_0.jpeg
page_125_img_0_0.jpeg",1,"page_148_img_0_0.jpeg
page_133_img_0_0.jpeg
page_355_img_1_0.jpeg
page_144_img_0_0.jpeg
page_355_img_0_0.jpeg
page_144_img_1_0.jpeg
page_125_img_0_0.jpeg
page_102_img_0_0.jpeg
page_104_img_0_0.jpeg
page_120_img_0_0.jpeg"
Q59,"오른손 법칙에서 좌표계의 X축, Y축, Z축은 각각 어느 손가락에 대응됩니까?",page_177_img_1_0.jpeg,,"page_176_img_3_0.jpeg
page_379_img_1_0.jpeg
page_384_img_0_0.jpeg
page_201_img_1_0.jpeg
page_379_img_2_0.jpeg
page_202_img_1_0.jpeg
page_378_img_2_0.jpeg
page_176_img_1_0.png
page_176_img_2_0.jpeg
page_176_img_0_0.png",1,"page_177_img_1_0.jpeg
page_176_img_0_0.png
page_176_img_3_0.jpeg
page_378_img_2_0.jpeg
page_379_img_2_0.jpeg
page_201_img_1_0.jpeg
page_203_img_0_0.jpeg
page_381_img_0_0.jpeg
page_384_img_0_0.jpeg
page_202_img_1_0.jpeg"
Q60,Recovery 모듈은 어떤 상황에서 로봇 위치와 각도를 설정하기 위해 사용합니까?,page_181_img_0_0.jpeg,1,"page_181_img_0_0.jpeg
page_184_img_0_0.jpeg
page_192_img_0_0.jpeg
page_178_img_0_0.jpeg
page_92_img_1_0.jpeg
page_191_img_0_0.jpeg
page_196_img_0_0.jpeg
page_189_img_0_0.jpeg
page_179_img_1_0.jpeg
page_281_img_1_0.jpeg",1,"page_181_img_0_0.jpeg
page_184_img_0_0.jpeg
page_92_img_1_0.jpeg
page_192_img_0_0.jpeg
page_182_img_0_0.jpeg
page_178_img_0_0.jpeg
page_191_img_0_0.jpeg
page_196_img_0_0.jpeg
page_189_img_0_0.jpeg
page_195_img_0_0.jpeg"
Q61,Robot Settings 화면의 더보기 버튼은 어떤 파일 작업을 수행할 수 있게 합니까?,page_186_img_0_0.jpeg,2,"page_168_img_0_0.jpeg
page_186_img_0_0.jpeg
page_248_img_0_0.jpeg
page_376_img_0_0.jpeg
page_184_img_0_0.jpeg
page_375_img_0_0.jpeg
page_169_img_2_0.jpeg
page_167_img_2_0.jpeg
page_167_img_3_0.jpeg
page_170_img_0_0.jpeg",2,"page_168_img_0_0.jpeg
page_186_img_0_0.jpeg
page_361_img_1_0.jpeg
page_361_img_0_0.jpeg
page_248_img_0_0.jpeg
page_197_img_0_0.jpeg
page_376_img_0_0.jpeg
page_169_img_2_0.jpeg
page_184_img_0_0.jpeg
page_375_img_0_0.jpeg"
Q62,Cockpit 설정 화면에서 1번 버튼에 수행할 기능을 지정하는 항목은 무엇입니까?,page_196_img_0_0.jpeg,2,"page_220_img_0_0.jpeg
page_196_img_0_0.jpeg
page_384_img_0_0.jpeg
page_376_img_0_0.jpeg
page_381_img_0_0.jpeg
page_184_img_0_0.jpeg
page_192_img_0_0.jpeg
page_224_img_0_0.jpeg
page_236_img_0_0.jpeg
page_226_img_2_0.jpeg",1,"page_196_img_0_0.jpeg
page_197_img_0_0.jpeg
page_220_img_0_0.jpeg
page_376_img_0_0.jpeg
page_192_img_0_0.jpeg
page_381_img_0_0.jpeg
page_236_img_0_0.jpeg
page_384_img_0_0.jpeg
page_237_img_0_0.jpeg
page_224_img_0_0.jpeg"
Q63,툴 무게를 설정하기 위해 Robot Parameters에서 선택해야 하는 메뉴 경로는 무엇입니까?,page_205_img_1_0.jpeg,1,"page_205_img_1_0.jpeg
page_192_img_0_0.jpeg
page_184_img_0_0.jpeg
page_384_img_0_0.jpeg
page_248_img_0_0.jpeg
page_196_img_0_0.jpeg
page_191_img_0_0.jpeg
page_189_img_0_0.jpeg
page_195_img_2_0.jpeg
page_190_img_1_0.jpeg",1,"page_205_img_1_0.jpeg
page_192_img_0_0.jpeg
page_184_img_0_0.jpeg
page_384_img_0_0.jpeg
page_206_img_0_0.jpeg
page_209_img_0_0.jpeg
page_196_img_0_0.jpeg
page_195_img_0_0.jpeg
page_197_img_0_0.jpeg
page_248_img_0_0.jpeg"
Q64,Tool Shape 팝업에서 새 툴 형상을 등록할 때 입력해야 하는 기본 항목은 무엇입니까?,page_209_img_0_0.jpeg,4,"page_208_img_0_0.jpeg
page_224_img_0_0.jpeg
page_186_img_0_0.jpeg
page_209_img_0_0.jpeg
page_205_img_1_0.jpeg
page_206_img_0_0.jpeg
page_226_img_2_0.jpeg
page_210_img_1_0.jpeg
page_210_img_2_0.jpeg
page_259_img_1_0.jpeg",1,"page_209_img_0_0.jpeg
page_208_img_0_0.jpeg
page_210_img_0_0.jpeg
page_210_img_1_0.jpeg
page_210_img_2_0.jpeg
page_206_img_0_0.jpeg
page_224_img_0_0.jpeg
page_186_img_0_0.jpeg
page_205_img_1_0.jpeg
page_245_img_0_0.jpeg"
Q65,구 형태의 안전 영역을 설정할 때 중심 위치는 어떤 축 값으로 입력합니까?,page_226_img_0_0.jpeg,,"page_240_img_0_0.jpeg
page_224_img_0_0.jpeg
page_242_img_0_0.jpeg
page_201_img_1_0.jpeg
page_244_img_0_0.jpeg
page_236_img_0_0.jpeg
page_243_img_0_0.jpeg
page_226_img_2_0.jpeg
page_232_img_0_0.jpeg
page_241_img_0_0.jpeg",,"page_241_img_0_0.jpeg
page_240_img_0_0.jpeg
page_224_img_0_0.jpeg
page_225_img_0_0.jpeg
page_243_img_0_0.jpeg
page_242_img_0_0.jpeg
page_236_img_0_0.jpeg
page_244_img_0_0.jpeg
page_201_img_1_0.jpeg
page_202_img_1_0.jpeg"
Q66,공간 제한 구역에서 두 점을 사용하는 형상 설정 시 입력해야 하는 주요 위치 항목은 무엇입니까?,page_230_img_0_0.jpeg,6,"page_240_img_0_0.jpeg
page_236_img_0_0.jpeg
page_242_img_0_0.jpeg
page_232_img_0_0.jpeg
page_244_img_0_0.jpeg
page_230_img_0_0.jpeg
page_239_img_0_0.jpeg
page_192_img_0_0.jpeg
page_243_img_0_0.jpeg
page_243_img_1_0.jpeg",9,"page_240_img_0_0.jpeg
page_241_img_0_0.jpeg
page_237_img_0_0.jpeg
page_236_img_0_0.jpeg
page_232_img_0_0.jpeg
page_244_img_0_0.jpeg
page_242_img_0_0.jpeg
page_243_img_0_0.jpeg
page_230_img_0_0.jpeg
page_231_img_1_0.jpeg"
Q67,충돌 민감도 감소 구역은 어떤 목적의 안전 구역입니까?,page_243_img_0_0.jpeg,1,"page_243_img_0_0.jpeg
page_242_img_0_0.jpeg
page_244_img_0_0.jpeg
page_296_img_0_0.jpeg
page_24_img_0_0.jpeg
page_294_img_1_0.jpeg
page_295_img_0_0.jpeg
page_240_img_0_0.jpeg
page_284_img_0_0.jpeg
page_284_img_1_0.jpeg",1,"page_243_img_0_0.jpeg
page_242_img_0_0.jpeg
page_244_img_0_0.jpeg
page_24_img_0_0.jpeg
page_296_img_0_0.jpeg
page_294_img_1_0.jpeg
page_295_img_0_0.jpeg
page_284_img_0_0.jpeg
page_284_img_1_0.jpeg
page_240_img_0_0.jpeg"
Q68,Safety Setting Review 팝업은 어떤 설정 값이 변경되었을 때 저장을 위해 사용됩니까?,page_248_img_0_0.jpeg,1,"page_248_img_0_0.jpeg
page_220_img_0_0.jpeg
page_240_img_0_0.jpeg
page_246_img_0_0.jpeg
page_247_img_0_0.jpeg
page_224_img_0_0.jpeg
page_247_img_1_0.jpeg
page_208_img_0_0.jpeg
page_249_img_0_0.jpeg
page_223_img_0_0.jpeg",1,"page_248_img_0_0.jpeg
page_249_img_0_0.jpeg
page_220_img_0_0.jpeg
page_240_img_0_0.jpeg
page_241_img_0_0.jpeg
page_245_img_0_0.jpeg
page_224_img_0_0.jpeg
page_246_img_0_0.jpeg
page_208_img_0_0.jpeg
page_209_img_0_0.jpeg"
Q69,Remote Control 모듈의 필수 설정에서는 원격 제어를 위해 어떤 항목들을 설정해야 합니까?,page_251_img_2_0.jpeg,8,"page_256_img_0_0.jpeg
page_249_img_0_0.jpeg
page_249_img_2_0.jpeg
page_252_img_0_0.jpeg
page_257_img_0_0.jpeg
page_252_img_2_0.jpeg
page_258_img_0_0.jpeg
page_251_img_2_0.jpeg
page_251_img_1_0.jpeg
page_254_img_0_0.jpeg",1,"page_251_img_2_0.jpeg
page_252_img_0_0.jpeg
page_252_img_2_0.jpeg
page_256_img_0_0.jpeg
page_249_img_0_0.jpeg
page_249_img_2_0.jpeg
page_257_img_0_0.jpeg
page_259_img_1_0.jpeg
page_258_img_0_0.jpeg
page_251_img_1_0.jpeg"
Q70,I/O Overview에서 제어기 디지털 입력이 High 신호일 때와 Low 신호일 때 아이콘 색상은 각각 어떻게 표시됩니까?,page_336_img_0_0.jpeg,1,"page_336_img_0_0.jpeg
page_333_img_0_0.jpeg
page_139_img_0_0.jpeg
page_142_img_0_0.jpeg
page_142_img_1_0.jpeg
page_144_img_0_0.jpeg
page_335_img_1_0.jpeg
page_144_img_1_0.jpeg
page_335_img_2_0.jpeg
page_334_img_0_0.jpeg",1,"page_336_img_0_0.jpeg
page_334_img_0_0.jpeg
page_333_img_0_0.jpeg
page_139_img_0_0.jpeg
page_140_img_0_0.jpeg
page_142_img_0_0.jpeg
page_142_img_1_0.jpeg
page_144_img_0_0.jpeg
page_144_img_1_0.jpeg
page_335_img_1_0.jpeg"
