검토 번호,검토 유형,우선순위,질문 번호,비교군,모델,질문,실습 단계,정답 텍스트,정답 이미지,검색 텍스트 순위,검색 이미지 순위,1차 정확성(1-5),1차 구체성(1-5),1차 실습 단계 적합성(1-5),1차 안전성(1-5),1차 이해 용이성(1-5),1차 평균 점수,1차 최종 판정,1차 평가 메모,모델 답변,연구자 최종 판정(O/△/X),검토 완료(Y/N)
R042,G4-Qwen △ 판정 검토,중,Q25,G4,Qwen,조인트 각도를 기준으로 목표 위치까지 가장 빠른 경로로 이동하는 모션 명령어는 무엇입니까?,프로그래밍/모션 명령,MoveJ,page_275_img_0_0.jpeg,3,,2,4,2,3,5,3.20,△,rubric 기반 1차 평가; 정답키워드일치율=0.00; 의미유사도=0.51; 일치키워드=; 텍스트순위=3; 이미지순위=,"조인트 각도를 기준으로 목표 위치까지 가장 빠른 경로로 이동하는 모션 명령어는 `Move JX` 입니다. 이 명령어는 목표하는 작업 공간 좌표 및 관절 형태로 로봇을 이동시키는데 사용되며, 이는 가장 효율적인 경로를 통해 목적지까지 이동할 수 있게 해줍니다.",X,Y
R043,G4-Qwen △ 판정 검토,중,Q45,G4,Qwen,로봇을 설치 장소로 옮길 때 들어 올려야 하는 부분은 어디입니까?,설치/로봇 운반,매뉴얼 그림에서 음영으로 표시된 인양 지점을 들어 이동함,page_98_img_1_0.jpeg,1,5,2,3,2,4,5,3.20,△,rubric 기반 1차 평가; 정답키워드일치율=0.12; 의미유사도=0.58; 일치키워드=표시된; 텍스트순위=1; 이미지순위=5,"로봇을 설치 장소로 옮길 때 들어올려야 하는 부분은 음영 표시된 부분입니다. 안전 사고를 예방하기 위해 해당 지역 또는 국가의 중량 운반 작업 기준을 확인하고, 지침을 준수하여 운반해야 합니다.",O,Y
R044,G4-Qwen △ 판정 검토,중,Q48,G4,Qwen,툴을 툴 플랜지에 고정할 때 사용하는 볼트 수와 권장 체결 토크는 얼마입니까?,툴 장착/플랜지 고정,M6 볼트 4개를 사용하며 9 Nm 토크로 조이는 것을 권장함,page_123_img_0_0.jpeg,1,2,3,3,4,5,4,3.80,△,rubric 기반 1차 평가; 정답키워드일치율=0.11; 의미유사도=0.68; 일치키워드=볼트; 텍스트순위=1; 이미지순위=2,"툴을 툴 플랜지에 고정할 때 사용하는 볼트 수는 4개이며, 권장 체결 토크는 9 Nm입니다.",O,Y
R045,G4-Qwen △ 판정 검토,중,Q53,G4,Qwen,컨트롤러의 외부 엔코더 입력 단자 TBEN은 어떤 엔코더 상을 입력받을 수 있습니까?,제어기 I/O/엔코더 입력,"A상, B상, Z상을 입력받을 수 있음",page_137_img_0_0.jpeg,1,1,3,2,4,5,4,3.60,△,rubric 기반 1차 평가; 정답키워드일치율=0.20; 의미유사도=0.69; 일치키워드=입력받을; 텍스트순위=1; 이미지순위=1,"컨트롤러의 외부 엔코더 입력 단자 TBEN은 A, B, Z 상을 입력받을 수 있습니다.",O,Y
R046,G4-Qwen △ 판정 검토,중,Q57,G4,Qwen,테스트 펄스가 포함된 안전신호를 연결할 수 있는 Safety Controller 전용 안전 입력 단자는 무엇입니까?,안전 I/O/테스트 펄스,"SI1, SI2, SI3, SI4 단자",page_147_img_0_0.jpeg,1,1,2,4,2,4,5,3.40,△,rubric 기반 1차 평가; 정답키워드일치율=0.00; 의미유사도=0.50; 일치키워드=; 텍스트순위=1; 이미지순위=1,"테스트 펄스가 포함된 안전신호를 연결할 수 있는 Safety Controller의 전용 안전 입력 단자는 TBSI 단자입니다. 각 포트는 최대 1ms의 테스트 펄스를 20ms 당 최대 1개까지 허용하며, Low active 신호에만 테스트 펄스가 허용됩니다.",X,Y
R047,G4-Qwen △ 판정 검토,중,Q65,G4,Qwen,구 형태의 안전 영역을 설정할 때 중심 위치는 어떤 축 값으로 입력합니까?,안전 설정/구역 설정,"Center Position에서 X축, Y축, Z축 값을 입력함",page_226_img_0_0.jpeg,1,,3,3,4,4,4,3.60,△,rubric 기반 1차 평가; 정답키워드일치율=0.00; 의미유사도=0.64; 일치키워드=; 텍스트순위=1; 이미지순위=,"구 형태의 안전 영역을 설정할 때 중심 위치는 X, Y, Z 좌표값으로 입력합니다. 이는 구의 중심점의 위치를 정의하기 위함입니다.",O,Y
R048,G4-Qwen △ 판정 검토,중,Q66,G4,Qwen,공간 제한 구역에서 두 점을 사용하는 형상 설정 시 입력해야 하는 주요 위치 항목은 무엇입니까?,안전 설정/공간 제한 구역,Point 1과 Point 2 값을 입력함,page_230_img_0_0.jpeg,4,4,2,5,2,3,5,3.40,△,rubric 기반 1차 평가; 정답키워드일치율=0.00; 의미유사도=0.56; 일치키워드=; 텍스트순위=4; 이미지순위=4,"두 점을 사용하는 형상 설정 시 입력해야 하는 주요 위치 항목은 다음과 같습니다:

1. 원기둥의 경우:
   - 반지름 거리의 한 점
   - 윗면의 한 점
   - 밑면의 한 점

2. 기울어진 직육면체의 경우:
   - 기준점 (포인트 1)
   - x 축 끝점 (포인트 2)
   - y축 끝점 (포인트 3)
   - z 축 끝점 (포인트 4)

이러한 위치 항목을 입력하고 포즈 저장 버튼을 탭하여 공간 제한 구역을 설정할 수 있습니다.",X,Y
R049,G4 개선 사례: 안전/전원/접지,중,Q02,G4,Qwen,제어기의 전원 공급을 위해 시스템에서 반드시 갖추어야 하는 최소 요구 조건(안전 장치)은 무엇입니까?,안전/전원/접지,접지와 누전차단기,page_403_img_0_0.jpeg,1,5,4,5,5,5,5,4.80,O,rubric 기반 1차 평가; 정답키워드일치율=0.50; 의미유사도=0.55; 일치키워드=누전차단기; 텍스트순위=1; 이미지순위=5,"시스템에서 제어기의 전원 공급을 위해 반드시 갖추어야 하는 최소 요구 조건으로는 다음과 같은 안전 장치가 있습니다.

1. 접지 (Electrical Grounding): 로봇을 올바르게 접지해야 합니다.
2. 누전차단기 (Residual Current Device, RCD): 컨트롤러의 입력 전력을 누전차단기로 보호해야 합니다.

이 외에도 전원 케이블은 임의로 개조하거나 연장하지 않고, 원래 제공된 올바른 전선을 사용해야 하며, 모든 케이블이 연결되어 있는지 확인한 후에 제어기에 전원을 공급해야 합니다.",O,Y
R050,G4 개선 사례: UI/시스템 정보 확인,중,Q23,G4,Qwen,로봇 시스템의 시간 기능을 확인하는 곳은 화면의 어디입니까?,UI/시스템 정보 확인,Header의 현재 시간 정보,page_167_img_3_0.jpeg,4,5,3,3,4,5,5,4.00,O,rubric 기반 1차 평가; 정답키워드일치율=0.25; 의미유사도=0.45; 일치키워드=시간; 텍스트순위=4; 이미지순위=5,"매뉴얼에 따르면, 로봇 시스템의 시간 기능을 확인할 수 있는 곳은 대시보드 메뉴 구성 항목 중 '전체 시간' 항목에서 확인할 수 있습니다. 이 항목은 전체 시간 태스크가 실행된 시간을 표시합니다.",△,Y
R051,G4 개선 사례: 티치 펜던트/USB 데이터 관리,중,Q31,G4,Qwen,티치 펜던트에 위치한 USB 포트의 주된 용도는 무엇입니까?,티치 펜던트/USB 데이터 관리,로봇 로그 저장매체 백업 및 태스크 내보내기/가져오기,page_103_img_0_0.jpeg,1,3,3,3,4,5,5,4.00,O,"rubric 기반 1차 평가; 정답키워드일치율=0.33; 의미유사도=0.62; 일치키워드=내보내기,태스크; 텍스트순위=1; 이미지순위=3","티치펜던트에 위치한 USB 포트의 주된 용도는 로봇 동작 중 발생하는 로그를 USB 저장매체에 저장하거나 태스크 내보내기, 가져오기를 수행할 수 있게 하는 것입니다.",O,Y
R052,G4 실패 사례: 티치 펜던트/상태 확인,상,Q10,G4,Qwen,티치 펜던트 화면에서 로봇의 현재 각 관절 각도를 수치로 확인하는 메뉴 경로는 무엇입니까?,티치 펜던트/상태 확인,Status 모듈 내 I/O Overview,page_332_img_0_0.jpeg,8,,1,5,1,2,5,2.80,X,rubric 기반 1차 평가; 정답키워드일치율=0.00; 의미유사도=0.45; 일치키워드=; 텍스트순위=8; 이미지순위=,"DART-Platform 매뉴얼에 따르면, 티치 펜던트 화면에서 로봇의 현재 각 관절 각도를 수치로 확인하려면 다음과 같은 경로를 따라야 합니다.

1. 메뉴 구성 > 16 기준 좌표계 선택
2. 원하는 기준 좌표계(기본, 월드, 사용자)를 선택합니다.
3. 해당 기준 좌표계에 따른 현재 로봇 자세와 태스크 자세가 표시되는 화면을 확인합니다.

이 화면에서 현재 로봇의 조인트 자세와 태스크 자세가 수치로 표시되어 있습니다.",X,Y
R053,G4 실패 사례: 시스템 관리/로그,상,Q15,G4,Qwen,시스템의 과거 에러 로그를 추출하는 메뉴 경로는 어디입니까?,시스템 관리/로그,Logs 모듈,page_340_img_0_0.jpeg,1,,1,5,1,2,5,2.80,X,rubric 기반 1차 평가; 정답키워드일치율=0.00; 의미유사도=0.47; 일치키워드=; 텍스트순위=1; 이미지순위=,"Manuals에 따르면, 과거 에러 로그를 추출하기 위한 메뉴 경로는 다음과 같습니다.

1. DART-Platform 매뉴얼 > Log Table header 항목을 클릭합니다.
2. Log Message 항목에서 원하는 에러 메시지를 검색하거나 필터링할 수 있습니다.
3. 필요에 따라 Code, Category 등의 필터를 사용하여 로그를 정렬하거나 필터링할 수 있습니다.

위의 단계들을 통해 과거 에러 로그를 확인 및 추출할 수 있습니다.",△,Y
R054,G4 실패 사례: 설치/케이블 방수,상,Q28,G4,Qwen,로봇 큐브 모듈 케이블을 결합할 때 방수 등급 강화를 위해 케이블에 결합해야 하는 부품은 무엇입니까?,설치/케이블 방수,그로밋 (Grommet),page_405_img_0_0.jpeg,1,,5,4,5,5,5,4.80,O,"rubric 기반 1차 평가; 정답키워드일치율=1.00; 의미유사도=0.62; 일치키워드=grommet,그로밋; 텍스트순위=1; 이미지순위=","Manuals에 따르면, 로봇 큐브모듈의 프레임 커버 분해 후 케이블을 연결할 때 그로밋 (Grommet)을 결합하여 방수 등급을 강화해야 합니다. 따라서, 케이블에 결합해야 하는 부품은 그로밋 (Grommet)입니다.",O,Y
