질문 번호,구분,질문,정답 실습 단계,예측 실습 단계,G4 적용 단계,분류 점수,분류 margin,G4 적용,정답 텍스트,G3 텍스트 정답 순위,G4-oracle 텍스트 정답 순위,G4 텍스트 정답 순위,G4 텍스트 평가,G4 텍스트 평가 근거,정답 이미지,G3 이미지 정답 순위,G4-oracle 이미지 정답 순위,G4 이미지 정답 순위,G4 이미지 평가,G4 검색 이미지 Top-10
Q01,기존,로봇 케이블을 임의로 개조하거나 연장할 경우 발생할 수 있는 가장 큰 위험 두 가지는 무엇입니까?,안전/전원/케이블,설치/케이블 노이즈 대책,,0.5419,0.0279,X,화재가 발생하거나 컨트롤러가 고장 날 수 있음,2,2,2,O,"keyword:발생,컨트롤러,고장",page_403_img_0_0.jpeg,,6,,X,"1. page_104_img_0_0.jpeg | score=0.716 | stage=0.000 | 
7. page_168_img_1_0.png | score=0.797 | stage=0.614 | page=1.00; keyword=dart-platform
8. page_169_img_1_0.png | score=0.794 | stage=0.614 | page=1.00; keyword=dart-platform
9. page_173_img_1_0.jpeg | score=0.759 | stage=0.580 | page=1.00
10. page_309_img_1_0.jpeg | score=0.712 | stage=0.271 | "
Q24,기존,로봇의 이동 경로를 티칭할 때 직선으로 이동하도록 강제하는 모션 명령어는 무엇입니까?,프로그래밍/모션 명령,프로그래밍/모션 명령,프로그래밍/모션 명령,0.5321,0.0562,O,MoveL,1,2,2,O,semantic_rank:4,page_275_img_0_0.jpeg,,7,7,△,"1. page_277_img_0_0.jpeg | score=1.230 | stage=0.580 | page=1.00
2. page_276_img_0_0.jpeg | score=1.217 | stage=0.580 | page=1.00
3. page_281_img_1_0.jpeg | score=1.045 | stage=0.580 | page=1.00
4. page_278_img_1_0.jpeg | score=1.038 | stage=0.580 | page=1.00
5. page_280_img_0_0.jpeg | score=1.018 | stage=0.580 | page=1.00
6. page_279_img_0_0.jpeg | score=0.977 | stage=0.580 | page=1.00
7. page_275_img_0_0.jpeg | score=0.973 | stage=0.747 | page=1.00; keyword=movej,movel; section=movej,movel
8. page_267_img_1_0.jpeg | score=0.909 | stage=0.747 | page=1.00; keyword=movej,movel; section=movej,movel
9. page_299_img_0_0.jpeg | score=0.865 | stage=0.293 | 
10. page_195_img_2_0.jpeg | score=0.818 | stage=0.226 | "
Q25,기존,조인트 각도를 기준으로 목표 위치까지 가장 빠른 경로로 이동하는 모션 명령어는 무엇입니까?,프로그래밍/모션 명령,프로그래밍/모션 명령,,0.4831,0.0245,X,MoveJ,3,1,3,O,semantic_rank:8,page_275_img_0_0.jpeg,,3,,X,"1. page_378_img_2_0.jpeg | score=0.852 | stage=0.000 | 
2. page_378_img_0_0.jpeg | score=0.815 | stage=0.000 | 
3. page_374_img_1_0.jpeg | score=0.802 | stage=0.000 | 
4. page_384_img_0_0.jpeg | score=0.779 | stage=0.000 | 
5. page_379_img_2_0.jpeg | score=0.751 | stage=0.000 | 
6. page_375_img_0_0.jpeg | score=0.717 | stage=0.000 | 
7. page_379_img_1_0.jpeg | score=0.687 | stage=0.000 | 
8. page_267_img_1_0.jpeg | score=0.679 | stage=0.000 | 
9. page_288_img_0_0.jpeg | score=0.673 | stage=0.000 | 
10. page_386_img_1_0.jpeg | score=0.641 | stage=0.000 | "
Q26,기존,소프트웨어 업데이트 모듈을 설치할 때 사용하는 패키지 파일의 확장자는 무엇입니까?,시스템 관리/소프트웨어 업데이트,시스템 관리/소프트웨어 업데이트,시스템 관리/소프트웨어 업데이트,0.5504,0.1250,O,.dm (다운로드 받은 모듈 패키지 설치 파일),1,1,1,O,"keyword:다운로드,패키지,파일",page_167_img_2_0.jpeg,3,2,2,O,"1. page_361_img_0_0.jpeg | score=1.283 | stage=0.689 | page=1.00; keyword=robot update; section=robot update
2. page_167_img_2_0.jpeg | score=1.241 | stage=0.580 | page=1.00
3. page_360_img_0_0.jpeg | score=1.236 | stage=0.689 | page=1.00; keyword=robot update; section=robot update
4. page_366_img_0_0.jpeg | score=1.219 | stage=0.580 | page=1.00
5. page_167_img_3_0.jpeg | score=1.174 | stage=0.580 | page=1.00
6. page_364_img_1_0.jpeg | score=1.084 | stage=0.689 | page=1.00; keyword=robot update; section=robot update
7. page_363_img_0_0.jpeg | score=1.047 | stage=0.689 | page=1.00; keyword=robot update; section=robot update
8. page_166_img_1_0.jpeg | score=1.024 | stage=0.580 | page=1.00
9. page_361_img_1_0.jpeg | score=1.002 | stage=0.689 | page=1.00; keyword=robot update; section=robot update
10. page_361_img_2_0.png | score=0.985 | stage=0.689 | page=1.00; keyword=robot update; section=robot update"
Q27,기존,공장 출하 상태로 시스템을 복원하는 '공장 초기화(Factory Reset)' 진행 시 삭제되는 데이터는 무엇입니까?,시스템 관리/공장 초기화,시스템 관리/공장 초기화,시스템 관리/공장 초기화,0.6347,0.2172,O,"데이터 베이스, 로그파일, 워크셀 아이템, 태스크 파일",1,1,1,O,"keyword:데이터,워크셀,아이템,태스크,파일; semantic_rank:4",page_370_img_0_0.jpeg,1,1,1,O,"1. page_370_img_0_0.jpeg | score=1.218 | stage=0.580 | page=1.00
2. page_369_img_0_0.jpeg | score=1.185 | stage=0.580 | page=1.00
3. page_363_img_0_0.jpeg | score=1.118 | stage=0.580 | page=1.00
4. page_364_img_1_0.jpeg | score=1.102 | stage=0.580 | page=1.00
5. page_368_img_0_0.jpeg | score=1.041 | stage=0.580 | page=1.00
6. page_361_img_0_0.jpeg | score=0.991 | stage=0.580 | page=1.00
7. page_361_img_1_0.jpeg | score=0.873 | stage=0.580 | page=1.00
8. page_361_img_2_0.png | score=0.857 | stage=0.580 | page=1.00
9. page_182_img_0_0.jpeg | score=0.814 | stage=0.337 | 
10. page_360_img_0_0.jpeg | score=0.810 | stage=0.580 | page=1.00"
Q28,기존,로봇 큐브 모듈 케이블을 결합할 때 방수 등급 강화를 위해 케이블에 결합해야 하는 부품은 무엇입니까?,설치/케이블 방수,설치/케이블 방수,설치/케이블 방수,0.6070,0.0572,O,그로밋 (Grommet),2,1,1,O,page,page_405_img_0_0.jpeg,,,,X,"1. page_397_img_0_0.jpeg | score=1.240 | stage=0.580 | page=1.00
2. page_405_img_1_0.jpeg | score=1.231 | stage=0.664 | page=1.00; keyword=grommet; section=grommet
3. page_405_img_5_0.jpeg | score=1.218 | stage=0.664 | page=1.00; keyword=grommet; section=grommet
4. page_398_img_0_0.jpeg | score=1.215 | stage=0.580 | page=1.00
5. page_402_img_0_0.jpeg | score=0.980 | stage=0.580 | page=1.00
6. page_402_img_1_0.jpeg | score=0.977 | stage=0.580 | page=1.00
7. page_405_img_3_0.jpeg | score=0.975 | stage=0.664 | page=1.00; keyword=grommet; section=grommet
8. page_403_img_0_0.jpeg | score=0.975 | stage=0.580 | page=1.00
9. page_405_img_2_0.jpeg | score=0.972 | stage=0.664 | page=1.00; keyword=grommet; section=grommet
10. page_405_img_4_0.jpeg | score=0.969 | stage=0.664 | page=1.00; keyword=grommet; section=grommet"
Q29,기존,엔드 이펙터 툴의 중심 좌표계(Tool Coordinate)의 기준이 되는 z축의 방향은 플랜지 좌표계에서 어느 방향을 따라 회전합니까?,TCP/툴 좌표 설정,좌표계/오른손 법칙,,0.5598,0.0169,X,플랜지 좌표계의 z축,1,1,1,O,"keyword:플랜지,좌표계; semantic_rank:2",page_202_img_0_0.jpeg,4,4,4,O,"1. page_201_img_1_0.jpeg | score=0.891 | stage=0.000 | 
2. page_203_img_0_0.jpeg | score=0.845 | stage=0.000 | 
3. page_201_img_0_0.jpeg | score=0.817 | stage=0.000 | 
4. page_202_img_0_0.jpeg | score=0.812 | stage=0.000 | 
5. page_176_img_3_0.jpeg | score=0.782 | stage=0.000 | 
6. page_378_img_2_0.jpeg | score=0.767 | stage=0.000 | 
7. page_110_img_0_0.jpeg | score=0.753 | stage=0.000 | 
8. page_176_img_2_0.jpeg | score=0.753 | stage=0.000 | 
9. page_379_img_2_0.jpeg | score=0.753 | stage=0.000 | 
10. page_244_img_0_0.jpeg | score=0.721 | stage=0.000 | "
Q30,기존,전원 입력 시 극성이 잘못 결선되었을 때 컨트롤러 고장을 막기 위해 주의해야 할 항목은 무엇입니까?,안전/전원/극성,안전/전원/극성,안전/전원/극성,0.5951,0.0719,O,입력 전압의 극성이 반대로 연결되지 않도록 주의,1,1,1,O,semantic_rank:2,page_403_img_0_0.jpeg,,8,8,△,"1. page_397_img_0_0.jpeg | score=1.036 | stage=0.630 | page=1.00; section=cs-12p
2. page_398_img_0_0.jpeg | score=1.006 | stage=0.630 | page=1.00; section=cs-12p
3. page_121_img_0_0.jpeg | score=0.895 | stage=0.227 | 
4. page_137_img_0_0.jpeg | score=0.868 | stage=0.337 | 
5. page_86_img_0_0.jpeg | score=0.868 | stage=0.324 | 
6. page_402_img_1_0.jpeg | score=0.847 | stage=0.630 | page=1.00; section=cs-12p
7. page_402_img_0_0.jpeg | score=0.844 | stage=0.630 | page=1.00; section=cs-12p
8. page_403_img_0_0.jpeg | score=0.841 | stage=0.630 | page=1.00; section=cs-12p
9. page_138_img_0_0.jpeg | score=0.840 | stage=0.341 | 
10. page_163_img_0_0.jpeg | score=0.833 | stage=0.230 | "
Q31,기존,티치 펜던트에 위치한 USB 포트의 주된 용도는 무엇입니까?,티치 펜던트/USB 데이터 관리,티치 펜던트/USB 데이터 관리,티치 펜던트/USB 데이터 관리,0.6251,0.0946,O,로봇 로그 저장매체 백업 및 태스크 내보내기/가져오기,1,1,1,O,"page; keyword:로봇,로그,저장매체,태스크,내보내기; semantic_rank:6",page_103_img_0_0.jpeg,,3,3,O,"1. page_102_img_0_0.jpeg | score=1.251 | stage=0.580 | page=1.00
2. page_104_img_0_0.jpeg | score=1.167 | stage=0.580 | page=1.00
3. page_103_img_0_0.jpeg | score=1.090 | stage=0.580 | page=1.00
4. page_163_img_0_0.jpeg | score=0.908 | stage=0.346 | 
5. page_119_img_1_0.jpeg | score=0.903 | stage=0.293 | 
6. page_101_img_0_0.jpeg | score=0.901 | stage=0.580 | page=1.00
7. page_95_img_0_0.jpeg | score=0.896 | stage=0.341 | 
8. page_96_img_0_0.jpeg | score=0.873 | stage=0.332 | 
9. page_163_img_1_0.jpeg | score=0.858 | stage=0.350 | 
10. page_105_img_1_0.jpeg | score=0.825 | stage=0.580 | page=1.00"
Q32,기존,로봇이 프로그램 시작점으로 기본 복귀할 수 있도록 설정하는 위치의 명칭은 무엇입니까?,프로그램 실행/Home Position,프로그램 실행/Home Position,,0.5463,0.0224,X,Home Position (홈 포지션),7,7,7,△,"keyword:home,position; semantic_rank:2",page_192_img_0_0.jpeg,6,1,6,△,"1. page_181_img_0_0.jpeg | score=0.753 | stage=0.000 | 
2. page_323_img_0_0.jpeg | score=0.738 | stage=0.000 | 
3. page_84_img_0_0.jpeg | score=0.728 | stage=0.000 | 
4. page_325_img_0_0.jpeg | score=0.681 | stage=0.000 | 
5. page_323_img_1_0.jpeg | score=0.678 | stage=0.000 | 
6. page_192_img_0_0.jpeg | score=0.659 | stage=0.000 | 
7. page_324_img_0_0.jpeg | score=0.635 | stage=0.000 | 
8. page_83_img_0_0.jpeg | score=0.587 | stage=0.000 | 
9. page_196_img_0_0.jpeg | score=0.568 | stage=0.000 | 
10. page_178_img_0_0.jpeg | score=0.536 | stage=0.000 | "
Q33,기존,사용자 계정 관리에서 관리자(Supervisor) 권한으로 접근할 때 입력해야 하는 초기 비밀번호는 무엇입니까?,사용자 관리/권한,사용자 관리/권한,사용자 관리/권한,0.5687,0.1290,O,admin,1,1,1,O,keyword:admin,page_352_img_3_0.jpeg,2,2,2,O,"1. page_353_img_1_0.jpeg | score=1.368 | stage=0.685 | page=1.00; keyword=supervisor,password; section=supervisor password
2. page_352_img_3_0.jpeg | score=1.274 | stage=0.614 | page=1.00; keyword=password
3. page_353_img_0_0.png | score=1.091 | stage=0.685 | page=1.00; keyword=supervisor,password; section=supervisor password
4. page_352_img_1_0.png | score=1.011 | stage=0.580 | page=1.00
5. page_169_img_2_0.jpeg | score=0.828 | stage=0.332 | 
6. page_330_img_0_0.jpeg | score=0.764 | stage=0.236 | 
7. page_343_img_0_0.jpeg | score=0.745 | stage=0.651 | page=1.00; keyword=account; section=account
8. page_147_img_0_0.jpeg | score=0.730 | stage=0.293 | 
9. page_354_img_0_0.jpeg | score=0.682 | stage=0.580 | page=1.00
10. page_349_img_0_0.jpeg | score=0.647 | stage=0.647 | page=1.00; keyword=lock,setting"
Q34,기존,로봇을 운반이나 포장하기 위해 안전 복구 모드에서 사용할 수 있는 전용 기능의 이름은 무엇입니까?,안전 복구/패키징,안전 복구/Recovery,안전 복구/Recovery,0.5431,0.0418,O,패키징 모드,1,1,1,O,"keyword:패키징,모드; semantic_rank:5",page_184_img_0_0.jpeg,2,1,2,O,"1. page_181_img_0_0.jpeg | score=1.311 | stage=0.689 | page=1.00; keyword=recovery; section=recovery
2. page_184_img_0_0.jpeg | score=1.199 | stage=0.580 | page=1.00
3. page_178_img_0_0.jpeg | score=1.150 | stage=0.689 | page=1.00; keyword=recovery; section=recovery
4. page_182_img_0_0.jpeg | score=1.006 | stage=0.689 | page=1.00; keyword=recovery; section=recovery
5. page_179_img_1_0.jpeg | score=0.914 | stage=0.689 | page=1.00; keyword=recovery; section=recovery
6. page_48_img_0_0.jpeg | score=0.811 | stage=0.346 | 
7. page_49_img_0_0.jpeg | score=0.669 | stage=0.234 | 
8. page_186_img_0_0.jpeg | score=0.664 | stage=0.580 | page=1.00
9. page_92_img_1_0.jpeg | score=0.606 | stage=0.341 | 
10. page_242_img_0_0.jpeg | score=0.577 | stage=0.231 | "
Q35,기존,Configurable 디지털 I/O 전원을 내부 전원과 분리하기 위해 TBPWR 단자블록에서 제거해야 하는 점퍼선 결선은 무엇입니까?,제어기 I/O 배선,제어기 I/O 배선,,0.5381,0.0129,X,VCC-VIO 및 GND-GIO,1,1,1,O,"keyword:vcc,vio,gnd,gio; semantic_rank:1",page_144_img_1_0.jpeg,2,2,2,O,"1. page_144_img_0_0.jpeg | score=0.837 | stage=0.000 | 
2. page_144_img_1_0.jpeg | score=0.823 | stage=0.000 | 
3. page_139_img_0_0.jpeg | score=0.802 | stage=0.000 | 
4. page_133_img_0_0.jpeg | score=0.798 | stage=0.000 | 
5. page_141_img_1_0.jpeg | score=0.793 | stage=0.000 | 
6. page_142_img_1_0.jpeg | score=0.776 | stage=0.000 | 
7. page_145_img_0_0.jpeg | score=0.768 | stage=0.000 | 
8. page_142_img_0_0.jpeg | score=0.768 | stage=0.000 | 
9. page_136_img_1_0.jpeg | score=0.755 | stage=0.000 | 
10. page_136_img_0_0.png | score=0.750 | stage=0.000 | "
Q36,기존,공간 제한 구역을 '기울어진 직육면체(3포인트 & 높이)'로 설정할 때 3D 시뮬레이션 화면에서 지정해야 하는 3개의 점은 무엇입니까?,안전 설정/공간 제한 구역,안전 설정/공간 제한 구역,안전 설정/공간 제한 구역,0.5537,0.0528,O,"기준점, x축 위의 점, xy평면 위의 점",1,1,1,O,"keyword:기준점,위의; semantic_rank:1",page_237_img_0_0.jpeg,10,9,9,△,"1. page_236_img_0_0.jpeg | score=1.185 | stage=0.630 | page=1.00; section=safety settings
2. page_232_img_0_0.jpeg | score=1.180 | stage=0.781 | page=1.00; keyword=point 1,point 2,point; section=safety settings,point
3. page_243_img_0_0.jpeg | score=1.127 | stage=0.630 | page=1.00; section=safety settings
4. page_242_img_0_0.jpeg | score=1.109 | stage=0.630 | page=1.00; section=safety settings
5. page_230_img_1_0.jpeg | score=1.088 | stage=0.630 | page=1.00; section=safety settings
6. page_244_img_0_0.jpeg | score=1.081 | stage=0.630 | page=1.00; section=safety settings
7. page_240_img_0_0.jpeg | score=1.052 | stage=0.630 | page=1.00; section=safety settings
8. page_238_img_1_0.jpeg | score=1.040 | stage=0.698 | page=1.00; keyword=zone,safety zone; section=safety settings
9. page_237_img_0_0.jpeg | score=1.024 | stage=0.630 | page=1.00; section=safety settings
10. page_241_img_0_0.jpeg | score=1.007 | stage=0.630 | page=1.00; section=safety settings"
Q37,기존,힘 제어 모드에서 외력 센서값 오차를 초기화하기 위해 Custom Code에 입력해야 하는 DRL 명령어는 무엇입니까?,힘 제어/Custom Code,힘 제어/Custom Code,힘 제어/Custom Code,0.6182,0.1408,O,set_external_force_reset(),1,1,1,O,"page; keyword:set,external,force,reset; semantic_rank:1",page_310_img_1_0.jpeg,,6,6,△,"1. page_309_img_1_0.jpeg | score=1.260 | stage=0.580 | page=1.00
2. page_308_img_1_0.jpeg | score=1.245 | stage=0.580 | page=1.00
3. page_299_img_0_0.jpeg | score=1.175 | stage=0.580 | page=1.00
4. page_296_img_0_0.jpeg | score=1.092 | stage=0.580 | page=1.00
5. page_311_img_0_0.jpeg | score=1.017 | stage=0.580 | page=1.00
6. page_310_img_1_0.jpeg | score=1.012 | stage=0.580 | page=1.00
7. page_309_img_0_0.jpeg | score=1.008 | stage=0.580 | page=1.00
8. page_307_img_1_0.jpeg | score=0.968 | stage=0.580 | page=1.00
9. page_307_img_0_0.jpeg | score=0.956 | stage=0.580 | page=1.00
10. page_292_img_0_0.jpeg | score=0.937 | stage=0.580 | page=1.00"
Q38,기존,PROFINET 통신 구조에서 로봇 상태(Robot State) 정보를 전송하도록 할당된 Slot 번호는 몇 번입니까?,통신/PROFINET,통신/PROFINET,통신/PROFINET,0.6153,0.1345,O,Slot#1,1,1,1,O,keyword:slot,page_155_img_1_0.jpeg,2,2,2,O,"1. page_154_img_1_0.jpeg | score=1.308 | stage=0.681 | page=1.00; keyword=ethernet,ip,adapter
2. page_155_img_1_0.jpeg | score=1.300 | stage=0.681 | page=1.00; keyword=ethernet,ip,adapter
3. page_168_img_0_0.jpeg | score=0.799 | stage=0.284 | 
4. page_357_img_0_0.jpeg | score=0.761 | stage=0.233 | 
5. page_299_img_0_0.jpeg | score=0.716 | stage=0.234 | 
6. page_139_img_0_0.jpeg | score=0.715 | stage=0.350 | 
7. page_292_img_0_0.jpeg | score=0.639 | stage=0.231 | 
8. page_386_img_1_0.jpeg | score=0.625 | stage=0.297 | 
9. page_298_img_2_0.jpeg | score=0.623 | stage=0.232 | 
10. page_220_img_0_0.jpeg | score=0.593 | stage=0.293 | "
Q39,추가,제품을 처음 개봉할 때 로봇과 컨트롤러는 몇 개의 상자에 나누어 배송됩니까?,설치/제품 개봉,설치/제품 개봉,설치/제품 개봉,0.5153,0.1004,O,로봇 및 컨트롤러는 2개의 상자에 담겨 배송됨,1,1,1,O,"page; keyword:로봇,컨트롤러,상자에,상자,담겨; semantic_rank:1",page_83_img_0_0.jpeg,1,1,1,O,"1. page_83_img_0_0.jpeg | score=1.328 | stage=0.580 | page=1.00
2. page_84_img_0_0.jpeg | score=1.153 | stage=0.580 | page=1.00
3. page_104_img_0_0.jpeg | score=1.077 | stage=0.580 | page=1.00
4. page_85_img_0_0.jpeg | score=0.944 | stage=0.580 | page=1.00
5. page_98_img_0_0.jpeg | score=0.934 | stage=0.580 | page=1.00
6. page_96_img_0_0.jpeg | score=0.915 | stage=0.580 | page=1.00
7. page_86_img_0_0.jpeg | score=0.872 | stage=0.580 | page=1.00
8. page_103_img_0_0.jpeg | score=0.851 | stage=0.580 | page=1.00
9. page_105_img_1_0.jpeg | score=0.835 | stage=0.580 | page=1.00
10. page_105_img_0_0.jpeg | score=0.833 | stage=0.580 | page=1.00"
Q40,추가,티치펜던트와 로봇 케이블을 컨트롤러에 연결할 때 케이블이 빠지지 않도록 어떻게 연결해야 합니까?,설치/케이블 연결,설치/케이블 연결,설치/케이블 연결,0.5940,0.0729,O,해당 연결부에 딸깍 소리가 날 때까지 연결해야 함,1,1,1,O,"page; keyword:해당,연결부에,연결부,딸깍,소리가,소리; semantic_rank:1",page_84_img_0_0.jpeg,3,3,3,O,"1. page_83_img_0_0.jpeg | score=1.344 | stage=0.580 | page=1.00
2. page_119_img_1_0.jpeg | score=1.267 | stage=0.580 | page=1.00
3. page_84_img_0_0.jpeg | score=1.262 | stage=0.580 | page=1.00
4. page_120_img_0_0.jpeg | score=1.239 | stage=0.580 | page=1.00
5. page_121_img_0_0.jpeg | score=1.219 | stage=0.580 | page=1.00
6. page_116_img_0_0.jpeg | score=1.213 | stage=0.580 | page=1.00
7. page_123_img_0_0.jpeg | score=1.206 | stage=0.580 | page=1.00
8. page_115_img_0_0.jpeg | score=1.171 | stage=0.580 | page=1.00
9. page_125_img_0_0.jpeg | score=1.074 | stage=0.580 | page=1.00
10. page_86_img_0_0.jpeg | score=1.056 | stage=0.580 | page=1.00"
Q41,추가,컨트롤러 전원 케이블을 연결한 후 안전을 위해 반드시 확인해야 하는 전기적 조건은 무엇입니까?,안전/전원/접지,안전/전원/접지,,0.6226,0.0121,X,로봇이 올바르게 접지되었는지 확인해야 함,2,2,2,O,"page; keyword:로봇,올바르게; semantic_rank:7",page_86_img_0_0.jpeg,2,2,2,O,"1. page_120_img_0_0.jpeg | score=0.861 | stage=0.000 | 
2. page_86_img_0_0.jpeg | score=0.833 | stage=0.000 | 
3. page_121_img_0_0.jpeg | score=0.822 | stage=0.000 | 
4. page_119_img_1_0.jpeg | score=0.789 | stage=0.000 | 
5. page_163_img_0_0.jpeg | score=0.740 | stage=0.000 | 
6. page_133_img_0_0.jpeg | score=0.712 | stage=0.000 | 
7. page_397_img_0_0.jpeg | score=0.681 | stage=0.000 | 
8. page_398_img_0_0.jpeg | score=0.660 | stage=0.000 | 
9. page_145_img_0_0.jpeg | score=0.658 | stage=0.000 | 
10. page_147_img_0_0.jpeg | score=0.649 | stage=0.000 | "
Q42,추가,컨트롤러를 바닥에 설치할 때 기기 내부 환기를 위해 양쪽 면에 확보해야 하는 최소 여유 공간은 얼마입니까?,설치/컨트롤러 배치,설치/컨트롤러 배치,설치/컨트롤러 배치,0.5627,0.0903,O,양쪽 면에 약 50 mm의 여유 공간을 확보해야 함,1,1,1,O,"page; keyword:양쪽,면에,50,mm,여유,공간을; semantic_rank:1",page_88_img_0_0.jpeg,2,2,2,O,"1. page_88_img_1_0.jpeg | score=1.293 | stage=0.580 | page=1.00
2. page_88_img_0_0.jpeg | score=1.277 | stage=0.580 | page=1.00
3. page_86_img_0_0.jpeg | score=1.160 | stage=0.580 | page=1.00
4. page_89_img_1_0.jpeg | score=0.904 | stage=0.580 | page=1.00
5. page_93_img_0_0.jpeg | score=0.903 | stage=0.406 | page=0.70
6. page_120_img_0_0.jpeg | score=0.900 | stage=0.319 | 
7. page_89_img_0_0.jpeg | score=0.895 | stage=0.580 | page=1.00
8. page_85_img_0_0.jpeg | score=0.862 | stage=0.580 | page=1.00
9. page_116_img_0_0.jpeg | score=0.849 | stage=0.302 | 
10. page_113_img_0_0.jpeg | score=0.845 | stage=0.332 | "
Q43,추가,로봇 설치 후 첫 부팅 시 비상 정지 경고 팝업이 나타나면 비상 정지 버튼을 어떻게 해제해야 합니까?,티치 펜던트/비상정지,설치/기구 고정,,0.5349,0.0122,X,비상 정지 버튼을 시계 방향으로 돌려 해제함,1,1,1,O,"page; keyword:비상,정지,버튼을,버튼,시계,방향으로; semantic_rank:1",page_89_img_0_0.jpeg,2,2,2,O,"1. page_89_img_1_0.jpeg | score=0.913 | stage=0.000 | 
2. page_89_img_0_0.jpeg | score=0.858 | stage=0.000 | 
3. page_24_img_0_0.jpeg | score=0.757 | stage=0.000 | 
4. page_296_img_0_0.jpeg | score=0.700 | stage=0.000 | 
5. page_88_img_1_0.jpeg | score=0.635 | stage=0.000 | 
6. page_88_img_0_0.jpeg | score=0.625 | stage=0.000 | 
7. page_352_img_3_0.jpeg | score=0.623 | stage=0.000 | 
8. page_96_img_0_0.jpeg | score=0.589 | stage=0.000 | 
9. page_48_img_0_0.jpeg | score=0.579 | stage=0.000 | 
10. page_220_img_0_0.jpeg | score=0.574 | stage=0.000 | "
Q44,추가,시스템을 정상 종료할 때 전원 종료 팝업에서 눌러야 하는 버튼은 무엇입니까?,티치 펜던트/전원 종료,티치 펜던트/전원 종료,티치 펜던트/전원 종료,0.5838,0.0367,O,전원 종료 팝업에서 확인 버튼을 눌러 종료함,1,1,1,O,"page; keyword:전원,종료,팝업에서,팝업,버튼을,버튼; semantic_rank:1",page_94_img_0_0.jpeg,2,1,1,O,"1. page_94_img_0_0.jpeg | score=1.302 | stage=0.580 | page=1.00
2. page_95_img_0_0.jpeg | score=1.214 | stage=0.580 | page=1.00
3. page_96_img_0_0.jpeg | score=1.138 | stage=0.580 | page=1.00
4. page_163_img_0_0.jpeg | score=0.982 | stage=0.346 | 
5. page_89_img_1_0.jpeg | score=0.947 | stage=0.337 | 
6. page_163_img_1_0.jpeg | score=0.929 | stage=0.341 | 
7. page_89_img_0_0.jpeg | score=0.886 | stage=0.332 | 
8. page_125_img_0_0.jpeg | score=0.844 | stage=0.328 | 
9. page_88_img_1_0.jpeg | score=0.833 | stage=0.311 | 
10. page_88_img_0_0.jpeg | score=0.817 | stage=0.306 | "
Q45,추가,로봇을 설치 장소로 옮길 때 들어 올려야 하는 부분은 어디입니까?,설치/로봇 운반,설치/로봇 운반,,0.5967,0.0027,X,매뉴얼 그림에서 음영으로 표시된 인양 지점을 들어 이동함,1,1,1,O,"page; keyword:음영,표시된,인양,지점,들어",page_98_img_1_0.jpeg,5,1,5,O,"1. page_113_img_0_0.jpeg | score=0.825 | stage=0.000 | 
2. page_114_img_0_0.jpeg | score=0.822 | stage=0.000 | 
3. page_123_img_0_0.jpeg | score=0.810 | stage=0.000 | 
4. page_84_img_0_0.jpeg | score=0.809 | stage=0.000 | 
5. page_98_img_1_0.jpeg | score=0.765 | stage=0.000 | 
6. page_115_img_0_0.jpeg | score=0.750 | stage=0.000 | 
7. page_93_img_0_0.jpeg | score=0.736 | stage=0.000 | 
8. page_192_img_0_0.jpeg | score=0.641 | stage=0.000 | 
9. page_88_img_0_0.jpeg | score=0.603 | stage=0.000 | 
10. page_88_img_1_0.jpeg | score=0.603 | stage=0.000 | "
Q46,추가,전자파 노이즈 영향을 줄이기 위해 매니퓰레이터 케이블 양단에 설치를 권장하는 부품은 무엇입니까?,설치/케이블 노이즈 대책,설치/케이블 노이즈 대책,설치/케이블 노이즈 대책,0.5646,0.0482,O,페라이트코어를 설치하는 것을 권장함,1,2,2,O,"keyword:페라이트코어를,페라이트코어,설치하는,설치하,것을; semantic_rank:1",page_119_img_1_0.jpeg,3,3,3,O,"1. page_120_img_0_0.jpeg | score=1.293 | stage=0.580 | page=1.00
2. page_121_img_0_0.jpeg | score=1.254 | stage=0.580 | page=1.00
3. page_119_img_1_0.jpeg | score=1.247 | stage=0.580 | page=1.00
4. page_116_img_0_0.jpeg | score=1.191 | stage=0.580 | page=1.00
5. page_115_img_0_0.jpeg | score=1.176 | stage=0.580 | page=1.00
6. page_123_img_0_0.jpeg | score=1.094 | stage=0.580 | page=1.00
7. page_119_img_0_0.jpeg | score=0.993 | stage=0.580 | page=1.00
8. page_118_img_0_0.jpeg | score=0.970 | stage=0.580 | page=1.00
9. page_114_img_0_0.jpeg | score=0.928 | stage=0.580 | page=1.00
10. page_124_img_0_0.jpeg | score=0.903 | stage=0.580 | page=1.00"
Q47,추가,매니퓰레이터 연결 케이블을 컨트롤러에 연결한 뒤 케이블이 빠지지 않도록 추가로 해야 하는 조치는 무엇입니까?,설치/매니퓰레이터 연결,설치/매니퓰레이터 연결,설치/매니퓰레이터 연결,0.6230,0.0381,O,연결 후 고정용 고리를 체결해야 함,1,1,1,O,"page; keyword:연결,고정용,고리를,고리; semantic_rank:1",page_120_img_0_0.jpeg,1,1,1,O,"1. page_120_img_0_0.jpeg | score=1.327 | stage=0.580 | page=1.00
2. page_121_img_0_0.jpeg | score=1.311 | stage=0.580 | page=1.00
3. page_119_img_1_0.jpeg | score=1.307 | stage=0.580 | page=1.00
